stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,hatching.gland,heart,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  3-4,171.31,2227.07,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,147.11,1385.3,0,0,0,0,0,0,0,0,0,36.78,0,0,49.04,0,0,0,0,0,0
  7-9,23.66,23.66,21.03,0,0,31.54,21.03,0,0,0,0,449.51,28.92,149.84,0,5.26,0,0,0,0,0
 10-12,0,6.29,3.15,0,0,9.44,9.44,0,0,0,0,135.32,3.15,34.62,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,1,0,0,1,2,1,16,1,1,1,0,4,2,7,0,0
 24-34,0,0,0,0,0,0.82,0,0,0,0,0,4.1,0,0,2.46,0,0,0,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,1.61,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,1.09,0,2.19,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0.77
