stage,axial,blastomeres,endoderm,erythrocytes,eye,hatching.gland,lateral.line,neural,notochord,paraxial.mesoderm,periderm,pgc,pronephros,somites
  3-4,210.85,5350.24,0,0,0,0,0,0,0,0,237.2,0,0,0
  5-6,128.72,2084.08,0,0,0,0,0,67.43,6.13,24.52,12.26,0,0,0
  7-9,2.63,0,5.26,0,7.89,10.51,0,157.72,0,55.2,0,21.03,0,0
 10-12,0,6.29,6.29,3.15,25.18,0,0,144.76,15.73,53.5,0,3.15,9.44,6.29
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0
