stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,9,0,4,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,2.46,9.03,0,0,0,0,0,1.64,0,0,0,0,1.64,0.82,0,26.27,2.46,0.82,0,4.1,0.82,6.57,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0.81,29,0,0,0.81,0,0.81,0,0,0.81,0,0.81,0,0,0.81,53.98,3.22,0,0,0.81,0,13.7,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,1.72,60.25,0,1.72,0.57,0,0.57,0,0.57,0,0,0,0,0.57,1.15,51.64,1.15,0,0,0,0,8.61,0,0,0,0,0.57
 60-70,0,0,0,0,1.96,2.94,86.37,0,0,1.96,0,0,0,2.94,0,0,0,4.91,0,0,60.85,0.98,0.98,0,0,0,9.82,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,7.85,73.62,0,0,4.91,0.98,2.94,0,1.96,0.98,0,0.98,3.93,0,0,49.08,2.94,0,1.96,0,0,5.89,0,0,0.98,0,0
 84-94,0,0,1.06,0,2.12,7.43,78.59,0,0,2.12,0,4.25,1.06,4.25,0,0,1.06,7.43,0,0,25.49,1.06,2.12,3.19,0,0,2.12,0,1.06,3.19,0,0
 96-106,0,0,2.19,0,4.37,6.56,60.11,0,0,3.28,2.19,4.37,0,6.56,0,0,0,5.46,0,0,30.6,4.37,0,1.09,0,0,5.46,3.28,0,0,0,0
108-118,0,0,0,0,2.3,5.36,49.02,0.77,0,3.06,0,2.3,0.77,11.49,0,0.77,0,0.77,0,0,16.09,0.77,0,2.3,1.53,0,0,2.3,0.77,0.77,0.77,0
120,0,0,0,0,1.96,13.72,37.24,1.96,0,7.84,0,1.96,0,5.88,1.96,0,0,3.92,0,0,35.28,0,0,0,0,0,0,1.96,0,0,0,0
