stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,9.44,0,3.15,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,2,0,4,0,0,0,4,1,0
 24-34,0,0,0,2.46,0,0,0,0,0.82,0,0.82,17.24,0,0,0,4.93,0,0.82
 36-46,0,0,0,1.61,0.81,0,0,0,0.81,0.81,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,0,0,1.72,1.15,0.57,3.44,0.57,0,0,0.57,0,0.57
 60-70,0,0,0,0,0,0,0,0,0,1.96,0,0.98,0,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,0,0,0,1.96,0.98,0.98,0,0,0,0,0,0.98
 84-94,0,1.06,0,2.12,0,0,2.12,0,0,0,0,1.06,0,0,0,0,0,1.06
 96-106,0,3.28,0,1.09,1.09,1.09,1.09,0,1.09,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0.77,5.36,0.77,3.06,0,0,0.77,0,0,0,0,0,1.53
120,0,0,0,0,1.96,0,1.96,0,1.96,0,0,1.96,0,0,1.96,0,0,0
