stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,28.32,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,9,0,0,0,0,0,7,0,383,270,1,0,0,0,0,0
 24-34,0,0,2.46,0,4.93,198.65,0,0,0.82,0,0,0,0,0,0,0,0,0,8.21,0,0,32.83,49.25,2.46,0.82,0.82,0,2.46,1.64,0,232.3,243.79,9.85,0,0,0.82,0,0
 36-46,0,0,0,0,6.45,355.3,0,0,2.42,0,0,0,0,0,0,0,0,0,8.86,0,0,31.42,44.31,0.81,0,0,0,2.42,0,0,174.02,21.75,12.09,0,0,2.42,0,0.81
 48-58,0,0,0,0,20.08,354.04,0,1.15,6.31,0,0,0,0,0,0,0.57,0,0.57,8.61,0,0.57,70,56.23,0.57,0.57,0,0,2.3,0,0.57,129.11,0.57,17.21,0,0,1.15,0,1.15
 60-70,0,0,0.98,0.98,19.63,228.69,0.98,0,0.98,0,0,0,0,0,0.98,0.98,0,0,7.85,0,0,68.71,37.3,0,0,0,0,0.98,0,0,64.78,0,4.91,0,0,0,0,0
 72-82,0,0,0.98,3.93,15.71,167.86,0,0,7.85,0,0,0.98,0,0,0,0,0,0,17.67,0,0,72.64,34.36,0,1.96,0,0,1.96,0,0,42.21,0,1.96,0.98,0,3.93,0.98,4.91
 84-94,0,0,7.43,5.31,21.24,267.63,1.06,0,4.25,0,0,0,0,0,0,0,2.12,0,12.74,0,1.06,70.09,38.23,0,1.06,0,0,3.19,0,0,72.22,0,2.12,0,0,2.12,0,0
 96-106,0,0,5.46,9.84,24.04,336.6,0,0,4.37,1.09,0,1.09,1.09,2.19,0,2.19,2.19,0,18.58,1.09,2.19,76.5,36.06,0,4.37,3.28,0,4.37,0,0,64.48,0,0,0,2.19,0,1.09,2.19
108-118,0,0,2.3,0.77,9.96,244.34,0,0,3.06,0,0,0,1.53,0,0,0,1.53,0,17.62,0.77,0.77,82.72,29.11,0.77,0,2.3,0,1.53,0,0,52.85,0,0.77,0,0.77,0,0,0
120,0,0,1.96,0,5.88,145.02,0,0,5.88,0,0,1.96,1.96,0,0,1.96,0,0,3.92,0,0,80.35,21.56,0,0,3.92,0,0,0,0,23.52,0,0,0,0,0,0,0
