stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,5,0,5,908,132,7,0,15,0,99,70,1,0,1,0,0,0,0,151,2,0,115,281,134,0,3,460,0,10,1,1778,47,44,981,1731,0,0,5,0,1
 24-34,0,0,0,0.82,25.45,5.75,11.49,0,25.45,13.13,91.94,14.78,0,0,0,0,0,0,3.28,115.74,0.82,0,152.68,127.23,17.24,1.64,0,0,0,1.64,0,2.46,9.03,12.31,182.23,928.39,0,0,9.85,0,0
 36-46,0,0,0,0,3.22,0,6.45,0,4.83,23.36,45.92,4.83,0,0,0,0,0,0,0,129.71,0,4.03,96.68,99.9,12.09,0.81,0,0,0,1.61,0,1.61,2.42,11.28,1.61,1039.31,0,0,6.45,0,0
 48-58,0,0,0,0,1.15,0,26.4,2.3,2.3,30.41,37.3,2.87,0,0,0,0,0,0,1.72,121.65,0,2.87,78.61,107.88,5.74,1.15,0,0,0,1.15,0,0,2.87,4.02,0,949.65,0,0,1.15,0.57,1.15
 60-70,0,0,0,0,0,0,17.67,0,3.93,18.65,28.46,0.98,0,0,0,0,0,0,0,73.61,0,3.93,39.26,55.95,0.98,0,0.98,0,0,1.96,0,0.98,5.89,2.94,0,576.15,0,0,4.91,2.94,0
 72-82,0,0,0.98,0,1.96,0.98,16.69,0.98,6.87,41.23,53.01,9.82,0,0,0,1.96,0,0.98,0,122.71,0,15.71,60.86,66.75,5.89,0,0,0,0.98,0.98,0,0,2.94,0.98,0,302.35,0.98,4.91,2.94,13.74,0
 84-94,0,0,3.19,0,5.31,0,22.3,1.06,4.25,30.8,54.16,11.68,0,1.06,0,1.06,1.06,0,0,82.84,0,10.62,47.79,44.61,2.12,0,0,0,0,0,0,0,9.56,4.25,0,207.1,0,1.06,2.12,11.68,0
 96-106,0,0,3.28,0,3.28,1.09,12.02,1.09,3.28,25.14,32.79,14.21,0,0,0,1.09,1.09,0,1.09,79.78,0,9.84,44.81,33.88,6.56,0,0,0,2.19,0,0,0,5.46,3.28,0,66.66,0,5.46,4.37,15.3,0
108-118,0,0,4.6,0,6.13,0,0.77,2.3,5.36,22.98,26.81,14.55,0,0.77,0,0,0.77,0,0,65.11,1.53,9.19,32.94,30.64,9.19,0.77,0.77,0,1.53,0.77,0,0,1.53,4.6,0,49.02,0,0.77,4.6,12.26,0.77
120,0,0,0,0,5.88,0,1.96,1.96,5.88,13.72,21.56,17.64,0,1.96,0,0,0,0,0,68.59,0,9.8,19.6,19.6,5.88,0,0,0,0,0,0,0,7.84,1.96,0,29.4,0,0,0,11.76,0
