stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,immune,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0,0,37.76,0.82,0.82,0,0,9.85,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,83.79,0,2.42,0,0.81,9.67,0,0,0,0,0
 48-58,0,0,0,0,4.02,0,0.57,0.57,0,0,0,0,1.15,0,0,94.1,0,0,0,0,8.61,0,0,0,0,0
 60-70,0,0.98,0,0,24.54,0,0,0,0,0,0,0,0.98,0,0,269.92,0,3.93,0,0,15.7,0,0.98,0,0,0
 72-82,0,0,0.98,0,80.5,0,0,14.72,0,0,0,0,7.85,0,0,308.24,0,2.94,0,0,27.49,0,0,0,0,0.98
 84-94,0,0,4.25,0,53.1,0,0,3.19,0,0,0,0,0,0,0,131.69,0,0,0,0,10.62,0,0,0,0,0
 96-106,0,0,1.09,1.09,78.68,0,0,8.74,0,1.09,0,0,4.37,0,1.09,154.09,1.09,1.09,1.09,0,5.46,0,0,1.09,1.09,0
108-118,0,0,1.53,0,92.68,0.77,0,9.19,0,0,0.77,0,4.6,0.77,0.77,200.68,0.77,2.3,0.77,0,5.36,0.77,0,0,0.77,0.77
120,1.96,0,9.8,0,148.94,0,0,17.64,1.96,0,0,1.96,9.8,0,1.96,444.87,0,3.92,0,1.96,13.72,0,0,0,0,0
