stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,5.26,0,18.4,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.62,12.59,0,28.32,0,0,6.29,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,18,1,0,0,0,0,1,3,0,0,2,6,0,0,0,0
 24-34,0,0,0.82,1.64,0,0,5.75,0,0,0,0.82,0,0,3.28,0.82,0,0,0,0,18.88,0,0,3.28,36.12,2.46,0,0,0,0,0,0,0,0.82,0,11.49,0,1.64,0,0
 36-46,0,0,0,0,0,0,3.22,0,1.61,0.81,8.06,0,0,3.22,0,0,0.81,0,1.61,17.72,0,0.81,8.86,32.23,2.42,0,0,0,0,0,0,0.81,0.81,0,16.11,0,0.81,0,0.81
 48-58,0,0,0,0,0,0,7.46,0,0.57,2.3,6.89,0.57,0,1.72,2.3,0,0.57,0,0.57,34.43,0,1.72,7.46,15.49,0,0,0,0,0.57,0,0,0,0,0,9.75,0,3.44,0,0.57
 60-70,0,0,0,0,0,0,13.74,0.98,0,2.94,17.67,0,0,2.94,2.94,0,0.98,0,0,63.8,0.98,2.94,2.94,15.7,0,0,0,0,0,0,0,0,0,0,11.78,0,6.87,0,0
 72-82,0,0,0,0.98,3.93,0,11.78,0,0,2.94,19.63,0,0,3.93,1.96,0,0,0,0,70.68,0.98,1.96,3.93,8.83,0,0,0,0,0,0,0,0,0,0,0,1.96,3.93,1.96,0
 84-94,0,0,0,0,2.12,0,8.5,0,0,3.19,13.81,0,0,1.06,3.19,1.06,1.06,0,0,47.79,0,1.06,5.31,10.62,2.12,1.06,0,0,0,0,0,0,0,0,1.06,3.19,4.25,3.19,0
 96-106,0,0,0,0,3.28,0,6.56,0,0,2.19,21.86,0,0,1.09,2.19,0,0,1.09,1.09,25.14,0,1.09,3.28,9.84,1.09,0,0,0,1.09,0,0,0,0,0,1.09,3.28,4.37,2.19,0
108-118,0,0,0,0.77,0.77,0,3.83,0.77,0.77,0.77,5.36,0,0,0,0.77,0,1.53,1.53,0.77,27.57,0,0.77,3.06,5.36,0,0,0,1.53,0,0,0,0,0,0,0,1.53,3.83,1.53,0
120,0,0,0,0,1.96,1.96,5.88,1.96,1.96,0,1.96,0,0,0,5.88,0,3.92,1.96,0,15.68,0,0,1.96,5.88,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0
