stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,513.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,1189.15,6.13,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,67.43,0,0,0,18.39,12.26,0,0,0,0,0,0,0,0,0
  7-9,21.03,23.66,76.23,0,0,0,18.4,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,623.01,26.29,0,0,268.13,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,34.62,0,9.44,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,311.55,15.73,0,0,188.82,0,3.15,0,12.59,0,3.15,0,0,0,0
 14-21,0,0,0,9,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,2,12,0,0,1,0,0,0,8,0,1,1,2,1,0,0
 24-34,0,0,0,5.75,0,0,4.1,1.64,0,0.82,0,0.82,0,0,0.82,0.82,0,0,0,0,9.85,0,4.1,17.24,0,0,0,0,0.82,0,0,0,1.64,8.21,1.64,5.75,0,0
 36-46,0,0,0,1.61,0,0,0.81,6.45,0,0.81,0,0,0,0,0,0,0,0.81,0,0,8.06,0,5.64,12.89,0,2.42,0.81,0,0.81,0,0,0.81,5.64,0.81,6.45,0.81,0,0
 48-58,0,0,0,1.15,0,0,6.89,4.59,0,0.57,1.15,0,0,0,1.15,0,0,0,0,0.57,16.07,0,2.87,8.03,0,0,1.15,0,1.72,0,0,0,6.89,0,1.72,1.15,0,0.57
 60-70,0,0,0,3.93,0,0,6.87,6.87,0,0.98,0.98,0,0,0,0,0,0,0,0,0,29.45,1.96,2.94,10.8,0,0.98,3.93,0,0,0,0,0,7.85,0,4.91,1.96,0,0
 72-82,0,0,0.98,0.98,0,0,7.85,10.8,0,1.96,5.89,4.91,0,0,1.96,0,0,0,0,0,32.39,0,0.98,16.69,0,0.98,3.93,0.98,0.98,0,0,0,2.94,0,2.94,1.96,0.98,2.94
 84-94,0,0,0,3.19,0,0,5.31,8.5,0,1.06,4.25,1.06,0,0,2.12,0,1.06,2.12,0,0,23.36,0,4.25,4.25,0,2.12,1.06,0,7.43,0,0,0,6.37,0,1.06,0,0,0
 96-106,0,0,0,5.46,0,0,3.28,7.65,0,2.19,4.37,7.65,0,0,4.37,0,0,1.09,1.09,0,14.21,0,4.37,6.56,1.09,2.19,3.28,0,16.39,0,0,1.09,5.46,0,1.09,2.19,0,1.09
108-118,0,0,0,5.36,1.53,0.77,4.6,9.96,1.53,0.77,6.13,3.83,0,0.77,5.36,0,1.53,1.53,0,1.53,18.38,0.77,4.6,6.13,0,1.53,1.53,0,6.13,0,0,1.53,6.13,0,1.53,3.83,0,1.53
120,0,0,0,3.92,0,0,3.92,7.84,1.96,0,13.72,9.8,0,0,5.88,0,0,1.96,1.96,0,23.52,1.96,3.92,3.92,0,1.96,7.84,0,43.12,0,0,0,5.88,0,1.96,1.96,0,0
