stage,axial,blastomeres,eye,gut,hatching.gland,muscle,neural,paraxial.mesoderm,periderm,pronephros
  3-4,13.18,39.53,0,0,0,0,0,0,13.18,0
  5-6,0,85.81,0,0,0,0,0,0,0,0
  7-9,0,2.63,2.63,0,0,0,21.03,15.77,0,0
 10-12,0,0,3.15,0,3.15,0,3.15,9.44,0,3.15
 14-21,0,0,0,0,0,1,1,0,0,2
 24-34,0,0,0,0,0,0,0.82,0,0,4.93
 36-46,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0.57,0,0,3.44
 60-70,0,0,0,0,0,0,0,0,0,4.91
 72-82,0,0,0,0,0,0,0,0,0.98,8.83
 84-94,0,0,0,0,0,0,0,0,0,10.62
 96-106,0,0,0,1.09,0,0,1.09,0,0,18.58
108-118,0,0,0,0.77,0,0,0.77,0,0.77,9.96
120,0,0,0,0,0,0,0,0,1.96,9.8
