stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,iridophores,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0
  5-6,12.26,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,2.63,0,0,0,0,13.14,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,18.88,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,41,1,0,0,0,0,0,0,14,0,0,0
 24-34,0,0,0,0,0,0,3.28,0,0,3.28,0.82,0,0,0,0,0.82,47.61,0.82,0,0,0,0,0,0,17.24,0,0.82,0
 36-46,0,0,0,0,0,0,5.64,0,0,3.22,0,0,0,0,0.81,0,34.64,0.81,0.81,0,0,0,0,0,18.53,0,4.03,0
 48-58,0,0,0,0,0,0,6.89,0,0,9.75,0,0,0,0,1.72,0,18.94,0,0,0,0,0.57,0,0,9.18,0,10.33,0
 60-70,0,0,0,0,0,0,14.72,0,0,77.54,0,0,0.98,0,7.85,1.96,21.59,0,0.98,0,0,0,0,0.98,9.82,0,12.76,0
 72-82,0,0,0,0,0,0,28.47,0,0.98,107,0,0,0,0,7.85,0.98,35.34,0,0,0,0,0.98,0,0,13.74,0,29.45,0
 84-94,0,0,0,3.19,2.12,0,27.61,0,0,62.66,2.12,0,0,0,8.5,0,21.24,1.06,0,0,0,0,1.06,0,9.56,1.06,22.3,0
 96-106,0,0,0,3.28,0,0,27.32,0,1.09,78.68,0,0,0,1.09,8.74,0,16.39,0,0,0,0,2.19,0,0,12.02,0,29.51,1.09
108-118,0,0,0,3.06,0,0,17.62,0,0.77,64.34,0.77,0,0,0.77,7.66,0.77,32.17,1.53,0,0,4.6,0,0,0,6.89,0,21.45,0.77
120,0,0,0,1.96,0,1.96,43.12,1.96,0,84.27,0,0,0,0,9.8,0,13.72,1.96,0,0,0,0,0,0,7.84,0,9.8,0
