stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal.cord,taste,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,1,2,1,0,0,0,0
 24-34,0,1.64,0.82,2.46,0,0,0,0,0,0.82,0.82,0,0,0.82,0.82,0.82,0,1.64,0,0,0.82,6.57,0,16.42,0,0,0,0,0,0,1.64,2.46,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0,0,0,8.06,0,16.11,0,0,0,0,0,0,0,4.03,0,0,0
 48-58,0,0,0,0.57,0,0,2.3,0,0.57,0.57,0,0,0.57,0,0.57,0,0.57,3.44,0,0,0,14.35,0,15.49,0.57,0,0,0.57,0,0.57,0,1.15,0,0,0
 60-70,0,1.96,0,0,0,0,2.94,0,0.98,0.98,3.93,0.98,0,0.98,0.98,0,0,4.91,0,0,0,47.11,0,19.63,0.98,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,5.89,0,0,0,0,4.91,0.98,0.98,1.96,9.82,0,0,0.98,7.85,0,0,1.96,0.98,0,0.98,28.47,0,41.23,0.98,0,0,0,0,0,0,1.96,0,0,0
 84-94,0,6.37,0,2.12,0,0,6.37,0,1.06,3.19,14.87,0,1.06,2.12,6.37,0,0,0,0,0,0,6.37,0,15.93,0,0,0,0,0,0,0,1.06,0,2.12,0
 96-106,0,5.46,0,1.09,0,0,4.37,0,0,1.09,86.33,0,1.09,2.19,6.56,0,0,3.28,0,1.09,1.09,18.58,0,21.86,0,0,0,2.19,0,1.09,0,1.09,2.19,1.09,1.09
108-118,0,3.83,0,3.06,1.53,2.3,3.06,0,0,3.83,138.64,0.77,0.77,0.77,3.83,0.77,0,4.6,0,0,0,16.09,0.77,9.96,1.53,0,3.06,0.77,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,1.96,0,111.71,0,1.96,0,1.96,1.96,0,3.92,0,0,0,13.72,0,13.72,0,0,0,1.96,0,0,0,3.92,0,0,0
