stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,42.91,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,28.92,7.89,0,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157.35,0,0,0,22.03,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,67,4,0,7,0,0,0,0,0,0,0,0,0,0,1,4,57,0,0,75,218,1,1,0,0,0,1,0,8,1,130,12,55,0,0,0,0,0
 24-34,0,0,0,47.61,0.82,0,2.46,0.82,2.46,1.64,7.39,0,0,0.82,0,0,7.39,0,0,261.03,0,0,115.74,61.56,4.1,0.82,2.46,0,0,0.82,0,0,0,69.77,0.82,22.16,0,0,2.46,0,0.82
 36-46,0,0,0,20.14,0,0,8.06,2.42,0,13.7,8.86,0,0,0,0,0,2.42,0,0,269.09,0,0.81,79.76,24.98,1.61,0,0.81,0,0,0.81,0,0,0,48.34,0,4.83,0,0,2.42,0,0
 48-58,0,0,0,4.02,0,0,13.77,0.57,0,33.28,8.61,0,0,0,0.57,0.57,1.72,0.57,0.57,327.07,0,0.57,55.09,23.53,0.57,0,0.57,0,0,1.15,0,0,0,42.46,0,5.74,0,0,2.87,0,1.15
 60-70,0,0,0,5.89,0,0,26.5,1.96,0.98,40.24,21.59,0,0,0,0,0,0.98,0,0,384.76,0,0,46.13,12.76,0.98,0,0.98,0,0,0.98,0,0,0,21.59,0,1.96,0,0.98,0.98,0,1.96
 72-82,0,0,0,0.98,1.96,0,38.28,0,1.96,58.9,37.3,0,0.98,0,0,0,1.96,0,0,438.8,0.98,0.98,63.81,29.45,0,0,3.93,0,2.94,0.98,0,0,0,9.82,0,1.96,0,2.94,0,4.91,1.96
 84-94,0,0,0,5.31,1.06,0,47.79,3.19,0,44.61,20.18,1.06,0,0,0,0,2.12,0,0,340.91,0,1.06,39.3,20.18,0,0,2.12,0,2.12,0,0,0,0,29.74,0,3.19,0,0,0,2.12,1.06
 96-106,0,0,0,3.28,2.19,1.09,39.34,0,2.19,30.6,26.23,0,0,0,0,0,1.09,0,0,323.48,0,3.28,26.23,26.23,0,0,1.09,0,4.37,0,0,0,0,18.58,0,0,2.19,6.56,1.09,3.28,5.46
108-118,0,0,0,3.06,0,0,15.32,0.77,2.3,29.11,13.02,0.77,0,0,0.77,0,0.77,0,0,251.24,0,3.06,19.15,18.38,0,0,0.77,0,3.06,0,0,0,0,19.92,0,0,0,0,0,3.83,2.3
120,0,0,0,5.88,0,0,23.52,0,0,29.4,11.76,0,0,0,0,0,0,1.96,0,172.46,1.96,0,17.64,23.52,0,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96,0,1.96,3.92,1.96
