stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,pronephros,somites,spinal.cord,vasculature
  3-4,79.07,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0
  5-6,18.39,570.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,18.39,0,0,0,0,0
  7-9,15.77,13.14,13.14,0,0,0,34.17,0,0,10.51,0,0,0,0,0,0,278.64,7.89,0,0,94.63,5.26,7.89,0,0,0,0
 10-12,0,9.44,22.03,0,3.15,0,31.47,0,0,15.73,0,0,0,0,0,0,286.37,18.88,0,0,91.26,6.29,9.44,9.44,0,0,0
 14-21,0,0,0,4,0,0,2,0,0,0,0,0,0,0,2,0,15,0,0,0,1,0,0,0,1,2,0
 24-34,0,0,0,2.46,0,0,1.64,0,0.82,0,0,0.82,0,0,3.28,0.82,27.09,0,0,0.82,0,0,0,0,0,5.75,0
 36-46,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0.81,0,0,0,18.53,0.81,0,0,0,0,0,0,0,3.22,0
 48-58,0,0,0,0,0,0,0.57,0,1.15,0,0,0,0,0,2.3,0,8.03,0,0.57,0,0,0,0,0,0,2.87,0
 60-70,0,0,0,0.98,0,0,0.98,0,1.96,0,0,0,0,0,0,0,24.54,0,0,0,0,0,0,0,0,2.94,0
 72-82,0,0,0,0,0,0,6.87,0,0.98,0,0,0,0,0.98,0,0,16.69,0,0,0,0,0.98,0,0,0,3.93,0
 84-94,0,0,0,1.06,0,0,4.25,0,0,0,0,0,0,0,1.06,0,10.62,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,4.37,0,1.09,0,0,1.09,0,0,1.09,0,12.02,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,4.6,0,1.53,0,0.77,0,0,0,2.3,0,13.79,0,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,1.96,1.96,0,1.96,1.96,0,0,0,0,0,1.96,0,17.64,0,1.96,0,0,0,0,0,0,0,1.96
