stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  7-9,2.63,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,8,0,0,1,0,0,0,2,4,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,4.1,0,0.82,0,0,0,1.64,0,0,0.82,26.27,0,0,0,0,0,0,0,21.34,0,0,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,13.7,0,0,0,0,0,0,0,0,0.81,90.23,0,0,0,0,0,0,0,39.48,0,0,0
 48-58,0,0,0,0,0,0,12.62,0.57,0,0.57,37.3,0,0,1.15,0,0,2.87,0,0,0,172.72,0,0,0,0,0.57,0,0,65.41,0,0,1.15
 60-70,0,0.98,0,0.98,0,0,68.71,0,0,0,61.84,0.98,0,0,0,0,3.93,0.98,0.98,0,215.93,0.98,0.98,0,0,0,0,0,55.95,0,0,0
 72-82,0,0,0,1.96,0,0,71.66,0,0,0,122.71,9.82,0,0,0,0,3.93,0,0,0,192.41,0,0.98,0,0,0,0,0,43.19,0.98,0,0.98
 84-94,0,0,0,4.25,0,0,45.67,0,1.06,0,72.22,5.31,0,0,0,0,0,0,0,1.06,72.22,0,0,0,0,2.12,0,0,24.43,0,0,0
 96-106,0,0,0,2.19,1.09,0,37.16,0,0,1.09,67.76,12.02,0,0,1.09,0,1.09,0,1.09,0,77.59,0,1.09,0,0,0,0,0,31.69,0,0,1.09
108-118,0,0,0,0,0,0,36.77,0,0,0,52.85,4.6,0,0,0,0.77,0.77,0,0,0.77,101.87,0,0,0,0,0,0,0,17.62,0,0.77,0
120,0,0,0,1.96,0,1.96,35.28,0,0,0,45.08,13.72,0,0,0,0,7.84,0,0,0,84.27,0,0,0,0,0,1.96,0,11.76,0,0,0
