stage,epidermis,erythrocytes,eye,glial,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0
 14-21,1,1,0,0,0,1,0,1,0,0,1,1,5,0,0,0
 24-34,0,0,0,0,0,0,0.82,9.85,0,0,0,0,3.28,1.64,0,0
 36-46,0,0,1.61,1.61,0.81,0.81,0.81,51.56,0.81,0,0,0,2.42,0.81,0,0
 48-58,0,0,2.87,0,0,0,0,33.28,0.57,0,0,0,5.74,2.3,0,0
 60-70,0,0,4.91,1.96,0,1.96,0,53.98,0,0,0,0,4.91,0,0,0
 72-82,0.98,0,7.85,4.91,0,1.96,0,16.69,0,0,0,0,0.98,0,0,0
 84-94,0,0,5.31,0,0,1.06,0,12.74,0,0,0,0,1.06,1.06,0,0
 96-106,0,1.09,7.65,1.09,0,0,0,7.65,0,0,0,0,1.09,0,1.09,0
108-118,0,0,4.6,0,0,0,0,10.72,0,0,0,0,0,0.77,0,0.77
120,0,0,3.92,1.96,1.96,0,0,17.64,0,0,0,0,0,0,0,0
