stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,hatching.gland,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,visceral.smooth.muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,22.03,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,5,1,0,0,8,0,2,0,0,0,0,1,4,2,1,0,0,0,1,0,0,22,0,0,0
 24-34,0,0,0.82,0,0,4.1,0,0,0,0,0,0,0.82,0,4.93,0.82,0,0,0,0,0,2.46,42.68,0,0,0
 36-46,0,0,0,0.81,0.81,0.81,0,0,0,0,0,0,1.61,0.81,4.03,0,1.61,0,0,0,0,0,33.84,0,0,0
 48-58,0,0,0,1.15,0,4.02,0,0,0,0,0,0,0.57,0,2.87,0,2.3,0,0,0,0,0,18.36,0,0,0
 60-70,0,0,0,0.98,0,6.87,0,0,6.87,0,0,0,0,0,4.91,0,2.94,0,0,0,0,0,11.78,0,0,0
 72-82,0,0,0,1.96,0,4.91,0,0,10.8,0,0,0,0,0,1.96,0,4.91,0,0,0,0,0,11.78,0,0,0
 84-94,0,0,0,1.06,0,3.19,0,0,6.37,1.06,0,0,1.06,0,1.06,0,15.93,0,0,0,1.06,0,14.87,0,0,3.19
 96-106,0,0,2.19,1.09,0,4.37,0,0,0,0,1.09,1.09,4.37,0,1.09,0,13.11,0,1.09,1.09,0,0,14.21,0,0,1.09
108-118,0,0,0.77,0,0,4.6,0,0,0,0,0,0,1.53,0.77,0.77,0,9.96,0.77,0,0,0,0,9.96,0.77,0,0.77
120,0,0,0,1.96,0,1.96,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0,0,0,0,9.8,0,1.96,0
