stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,104.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,2.63,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0,0,0,0,113.03,0,0,0,36.8,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,78.67,0,0,0,37.76,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,0,0,3,0,2,1,0,1,0,0,0,0,1,2,0,7,48,1,0,0,2,2,3,1,11,17,0,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,4.1,0,1.64,1.64,0,0.82,0.82,0,0,1.64,0,1.64,0,0.82,57.46,0,0,0,0,1.64,0,7.39,0.82,13.13,0,0,1.64,0,0
 36-46,0,0,0,0,0,0,0,8.86,0,1.61,0,0,0,0,0,0,0.81,0,4.03,0.81,1.61,39.48,0,0.81,0,0,4.03,0,12.09,0,6.45,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,16.64,0,3.44,0,0,0,0,0,0,1.15,6.31,5.16,0,0.57,38.44,0,0,0,0,2.87,0,5.16,0,5.74,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,0,25.52,0,2.94,0,0,0,0.98,0,0,6.87,3.93,0.98,0,0.98,37.3,0,0,0,0,2.94,0,10.8,0,1.96,0,0,0,0.98,0
 72-82,0,0,0,0,0,1.96,0,14.72,0,7.85,0.98,0,0,0,0,0,34.36,0,6.87,0,0.98,24.54,0,0,0,0,0.98,0,14.72,0,0.98,0,0,0.98,0,0
 84-94,0,0,1.06,0,0,1.06,0,6.37,0,5.31,0,0,0,1.06,0,1.06,134.88,0,3.19,0,2.12,13.81,0,0,1.06,0,1.06,0,26.55,0,1.06,0,0,2.12,0,0
 96-106,0,0,0,0,2.19,0,0,6.56,0,3.28,1.09,0,0,2.19,0,0,150.81,0,2.19,1.09,0,26.23,0,1.09,0,0,10.93,0,28.41,0,2.19,1.09,2.19,2.19,0,0
108-118,0,0,0,0,3.83,0.77,0.77,6.89,0.77,1.53,2.3,0,0,0.77,0,0,370.73,0,7.66,0.77,1.53,30.64,0,0,0,0,6.13,0,15.32,0,0,0.77,0,0,0,0.77
120,0,0,0,0,1.96,1.96,0,7.84,0,5.88,1.96,0,0,0,1.96,0,280.25,0,3.92,0,1.96,21.56,0,0,0,0,3.92,0,7.84,0,0,0,0,0,0,1.96
