stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,23,0,0,4,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,2,35,0,0,0,0,0,10,0,0,5,7,0,0,0,0,0
 24-34,0,0,0,7.39,0,0,13.95,0,0,0,1.64,0.82,0.82,4.1,5.75,0,0.82,0.82,1.64,6.57,0,0,5.75,52.53,1.64,0,0.82,0,13.95,0,4.1,0.82,3.28,8.21,0,0,4.1,0,1.64
 36-46,0,0.81,0,0.81,0.81,0,8.06,0,0,0,2.42,0,0,1.61,3.22,0.81,0.81,0.81,0,9.67,0.81,0,0.81,28.2,0,1.61,0,0,8.06,0,6.45,0,0,12.09,0,0,1.61,0,0
 48-58,0,0.57,0,3.44,0,0,17.79,0.57,1.15,0.57,4.59,0.57,0,1.72,1.15,0,0.57,0.57,1.15,9.75,0.57,1.72,2.87,15.49,0,1.15,1.15,0,4.59,0,3.44,0,0,4.02,0,0,0.57,0,2.3
 60-70,0,0,0,5.89,0,0,50.06,0,0.98,0.98,11.78,1.96,0,5.89,1.96,0.98,0,0.98,0.98,12.76,0.98,0.98,1.96,32.39,0.98,2.94,0,0,10.8,0,1.96,0,0,3.93,0,0,2.94,0,3.93
 72-82,0,2.94,0,1.96,1.96,0.98,64.79,0.98,0,0.98,41.23,7.85,2.94,9.82,2.94,2.94,1.96,10.8,0,37.3,1.96,1.96,3.93,26.5,0,6.87,0.98,0,11.78,0,13.74,0,0,2.94,0,0,0.98,0.98,0.98
 84-94,0,4.25,0,11.68,1.06,0,56.29,0,3.19,1.06,23.36,10.62,0,12.74,9.56,2.12,2.12,6.37,0,20.18,1.06,0,0,12.74,1.06,1.06,2.12,0,39.3,0,12.74,0,0,2.12,1.06,0,1.06,2.12,2.12
 96-106,0,5.46,0,13.11,2.19,1.09,32.79,0,1.09,0,27.32,8.74,0,14.21,13.11,6.56,2.19,12.02,1.09,21.86,1.09,1.09,4.37,24.04,1.09,8.74,2.19,0,20.76,0,16.39,0,0,4.37,2.19,0,1.09,0,1.09
108-118,0,0.77,0.77,21.45,2.3,1.53,26.04,0,2.3,1.53,19.92,12.26,0,13.02,8.43,6.13,2.3,19.92,0,28.34,1.53,0,6.89,22.21,0,4.6,3.83,0,22.21,0,16.85,0,0,0.77,0.77,1.53,1.53,0,1.53
120,0,3.92,0,9.8,1.96,0,13.72,0,0,3.92,23.52,23.52,0,27.44,3.92,5.88,0,25.48,1.96,23.52,0,0,1.96,33.32,0,5.88,7.84,0,58.79,0,11.76,0,0,0,0,0,5.88,0,1.96
