stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,1,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,87,0,0,0,0,0,2,0,0,45,0,0,0,0,0
 24-34,0,0.82,0,0,5.75,0,0,0,0,0,0,0,0,0,0,0,0,4.93,0,0,3.28,625.49,0,0.82,0,0,0.82,0,0,0,111.64,0,0,0,0,0
 36-46,0,0,0,0,128.1,0,0,0,1.61,0,0,0,0,0,0,0,0,4.83,0,0,0,1339.83,0.81,3.22,0,0,0.81,0,0,0,295.68,0,0,0.81,0,0
 48-58,0,2.3,0,0,356.33,0,0.57,0,8.03,0,0,0,0,0,0,0,0,6.89,0,0,1.15,853.25,0,0.57,0,0,0,0,0,0,239.85,0,0,0.57,0,0
 60-70,0,0.98,0,0,1131.69,0,0,0,6.87,0,0,0,0,0.98,0,0,0,4.91,0,0,0.98,470.15,0.98,0,0,0,0.98,0,0.98,0,89.32,0,0,0,0,0
 72-82,0.98,12.76,3.93,0,1755.21,1.96,0,1.96,36.32,0,1.96,0,0,1.96,0,0.98,0.98,27.49,0,0,1.96,549.73,0.98,3.93,0.98,0,2.94,0,0,0,43.19,0,0,0,2.94,0.98
 84-94,0,14.87,4.25,0,1498.53,1.06,0,0,29.74,1.06,0,1.06,0,1.06,0,1.06,0,22.3,0,2.12,1.06,318.61,1.06,1.06,1.06,0,3.19,0,0,0,28.68,0,1.06,0,0,1.06
 96-106,2.19,30.6,8.74,1.09,1628.34,3.28,1.09,1.09,46.99,3.28,1.09,3.28,3.28,0,1.09,2.19,0,31.69,0,1.09,2.19,385.77,0,2.19,3.28,1.09,13.11,0,0,1.09,19.67,1.09,1.09,4.37,0,3.28
108-118,0,19.92,1.53,3.06,1246.22,0,0,2.3,32.17,0.77,0.77,5.36,0,1.53,0.77,2.3,0,20.68,0.77,1.53,4.6,445.02,0.77,0,0.77,0,6.89,0,0.77,0,5.36,0.77,1.53,1.53,1.53,2.3
120,1.96,7.84,1.96,3.92,899.54,1.96,3.92,0,17.64,0,0,3.92,0,0,1.96,1.96,0,15.68,1.96,0,5.88,444.87,0,0,0,0,7.84,0,0,0,1.96,0,0,0,0,0
