stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,3.15,0,6.29,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,56.65,6.29,0,18.88,0,0,3.15,0,0,0,3.15,0,0,0,0
 14-21,0,0,0,0,1,0,3,0,4,0,0,0,0,0,0,0,5,0,3,37,0,0,4,0,0,0,6,0,3,11,0,1,0,0
 24-34,0,0.82,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0,3.28,0,1.64,38.58,0,0.82,0,0,0,0,0,0,0,12.31,0,3.28,0,0
 36-46,0,0,0,0,0,0,4.03,0.81,0.81,0,0,0,0,0,0,0.81,4.83,0,2.42,38.67,0.81,0,0,0,0,0,0,0,0,13.7,0,2.42,0,0
 48-58,0,0,0,0,0,0,12.05,1.15,0.57,0,0,0,0,0,0,1.15,9.75,0,0.57,56.23,0,0.57,0,0,0.57,0,0,0,0,10.9,0,1.15,0,0
 60-70,0,0,0,0,0,0,21.59,0,1.96,0,0,0,0,0,0,0,7.85,0,0,64.78,0,1.96,0,0,0,0,0,0,0,7.85,0,2.94,0,0
 72-82,0,0.98,0,0,0,0,19.63,0.98,3.93,0,0,0.98,0,0,1.96,0,16.69,0.98,0,73.62,0.98,1.96,0,0,0,0,0,0,0,4.91,0,3.93,0,1.96
 84-94,0,1.06,0,0,0,1.06,5.31,0,0,0,0,1.06,0,1.06,0,0,19.12,0,1.06,15.93,0,1.06,0,0,0,0,0,0,0,3.19,0,0,1.06,0
 96-106,0,0,0,1.09,0,0,9.84,1.09,2.19,0,0,0,0,1.09,0,1.09,7.65,0,1.09,20.76,0,1.09,0,0,0,0,0,1.09,0,0,1.09,4.37,0,0
108-118,0,0,0,1.53,0,0,6.89,0,2.3,0.77,0,0.77,0.77,1.53,0.77,0.77,7.66,0,0.77,27.57,0,0.77,0,0,0,0,0,0,0,0.77,0,2.3,0,0
120,0,0,0,0,0,0,5.88,0,0,0,0,0,0,1.96,0,1.96,11.76,0,0,19.6,0,0,0,1.96,0,0,0,0,0,1.96,0,1.96,3.92,1.96
