stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,35,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0
 24-34,0,0,4.1,0.82,0,0,0.82,0,0,0,0.82,2.46,0,0,0,0,0,61.56,0,2.46,0.82,0,0.82,22.16,0,1.64,0,0,0,0,0.82,0.82,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,3.22,0,0,0,0.81,4.03,0,0,0.81,0,0,45.92,0,0,0,0,0.81,13.7,0,0,0,0,0,0.81,0,0,0,1.61,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,4.02,0,0,0,1.15,1.72,0,0,0,0,0,47.05,0.57,2.87,0,0,0.57,10.33,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0.57
 60-70,0,0,0,0,0.98,0.98,6.87,0,0,0,0,0,0,0,0,0,0,76.56,0,3.93,0,0.98,0.98,17.67,0,0.98,0,0,0,0.98,0.98,0,0,1.96,0,0,0,0,0
 72-82,0,0.98,0,11.78,6.87,0.98,30.43,0.98,2.94,1.96,10.8,0.98,0.98,0.98,0,0,0.98,196.33,0,20.61,0,0.98,0.98,127.62,0,0,1.96,0,0,9.82,0.98,0,0,4.91,2.94,0,6.87,0,1.96
 84-94,0,1.06,0,6.37,13.81,0,37.17,0,0,3.19,10.62,4.25,1.06,4.25,3.19,1.06,2.12,533.14,1.06,8.5,0,1.06,5.31,88.15,0,0,2.12,0,0,12.74,2.12,0,0,2.12,1.06,3.19,3.19,0,1.06
 96-106,0,1.09,0,52.46,32.79,8.74,116.93,4.37,7.65,7.65,53.55,17.49,4.37,16.39,4.37,4.37,4.37,831.66,0,88.52,3.28,1.09,12.02,336.6,4.37,6.56,6.56,0,4.37,64.48,2.19,2.19,0,6.56,7.65,1.09,24.04,5.46,3.28
108-118,0,0,0,37.53,20.68,11.49,121.79,1.53,7.66,6.89,32.17,13.79,0.77,9.96,9.19,5.36,3.06,1568.69,3.06,95.75,3.83,3.06,15.32,367.66,5.36,4.6,3.83,0,2.3,57.45,1.53,2.3,0,7.66,6.89,2.3,7.66,3.83,5.36
120,0,0,0,31.36,17.64,3.92,80.35,1.96,3.92,0,23.52,11.76,1.96,11.76,0,5.88,0,877.98,0,76.43,1.96,3.92,19.6,280.25,5.88,1.96,5.88,0,3.92,29.4,1.96,0,0,3.92,0,0,3.92,0,1.96
