stage,blastomeres,endoderm,epidermis,eye,glial,gut,heart,ionocyte,mesenchyme,mucous,muscle,neural,notochord,paraxial.mesoderm,periderm,pronephros,spinal.cord,taste
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,23.66,2.63,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,3.15,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0
 24-34,0,0,0,0.82,0.82,0,0,2.46,0,13.13,0.82,10.67,0,0,1.64,0,3.28,0
 36-46,0,0,0,0,0,0,0,1.61,0.81,8.86,0.81,7.25,0,0,0,0,1.61,0
 48-58,0,0,0.57,2.3,0.57,0,0,0,0.57,9.75,0,2.3,0,0,0,0,0.57,0
 60-70,0,0,0,1.96,0,0,0,0,0,5.89,0,2.94,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0.98,0.98,0,1.96,0,16.69,0,1.96,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,4.25,0,0,0,20.18,0,1.06,0,0,0,0,0,0
 96-106,0,1.09,3.28,1.09,0,5.46,1.09,1.09,0,19.67,0,3.28,0,0,1.09,0,0,0
108-118,0,0,0.77,0.77,0,18.38,0,1.53,0,7.66,0,0.77,0,0,0,0,0,0.77
120,0,0,1.96,0,0,7.84,0,0,0,9.8,0,0,0,0,0,0,0,0
