stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,26.29,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,6.29,0,0,103.85,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,67,12,12,0,0,0,0,2,0,0,0,1,0,0,0,22,0,16,114,2,0,4,1,0,0,0,74,1,206,117,31,0,1,0,1
 24-34,0,0,0.82,9.85,0.82,4.1,0,0,2.46,0,0,0,0.82,0,0,0.82,0,0.82,19.7,0,9.03,82.91,0,0,0,0,0,0.82,0,0.82,0,50.07,9.03,19.7,0,3.28,0,3.28
 36-46,0,0,0,1.61,0,9.67,0,0,0.81,3.22,0,0,0,0,0,0.81,0,0,5.64,0,4.03,48.34,4.83,0.81,0.81,0,0,0,0,0,0,0.81,0,13.7,0,0,0,4.03
 48-58,0,0,0,0.57,0,22.38,0,0,0.57,2.87,0,0,0,0,0,1.72,0,0,12.05,0,2.3,25.25,2.3,0,0,0,0,1.15,0,0,0,1.15,0,7.46,0,1.15,0,1.15
 60-70,0,0,0,0.98,0,16.69,0.98,0,0,6.87,0,0,0,0,0,3.93,0,0,4.91,0,0,19.63,4.91,0,0,0,0,0,0,0,0,0.98,0,5.89,0.98,0,0,0.98
 72-82,0,0,0,0.98,0,31.41,0,0,0.98,10.8,0,0,0,0,0,0.98,0,0,3.93,1.96,0.98,21.6,2.94,0,0,0,0,0.98,0,0,0,0,0,3.93,0,0,0,0.98
 84-94,0,0,0,0,0,12.74,1.06,0,0,6.37,0,0,1.06,0,1.06,6.37,0,0,8.5,1.06,1.06,5.31,7.43,0,0,0,1.06,1.06,0,0,0,0,0,1.06,2.12,1.06,0,1.06
 96-106,0,1.09,0,1.09,0,12.02,0,0,0,5.46,0,0,0,1.09,0,9.84,2.19,0,6.56,1.09,5.46,2.19,8.74,1.09,1.09,0,0,2.19,0,0,0,3.28,0,2.19,0,2.19,0,0
108-118,0,0,0,0.77,0.77,6.89,0.77,1.53,0,6.13,0,0,0,0,0.77,9.19,0,0,3.83,0,3.83,8.43,11.49,0.77,0,0,0.77,2.3,0,0,0,2.3,0,0,0,0,0,0.77
120,0,0,0,0,0,11.76,1.96,1.96,1.96,3.92,0,0,0,0,1.96,5.88,0,0,0,0,0,17.64,19.6,0,0,0,0,3.92,0,0,0,1.96,0,0,0,0,1.96,0
