stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,92.25,632.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,67.43,649.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,10.51,0,0,0,26.29,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,178.75,5.26,0,0,52.57,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,12.59,0,0,0,50.35,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,302.11,0,0,0,84.97,0,0,0,22.03,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,56,10,0,9,0,0,0,7,2,0,0,3,1,0,0,0,1,18,0,0,15,100,0,1,7,8,0,3,20,6,10,58,0,0,0,0,0
 24-34,0,0,2.46,2.46,45.97,0,0,38.58,0.82,0.82,0,6.57,2.46,0,4.93,5.75,1.64,0,0.82,2.46,1.64,75.52,1.64,0.82,20.52,247.9,5.75,5.75,6.57,0,0,23.8,0,4.93,1.64,76.34,0,0,8.21,0,9.03
 36-46,0,0,0,0.81,14.5,0,0,23.36,0,0.81,4.83,7.25,1.61,0,0,3.22,0.81,0,0,1.61,1.61,51.56,0,2.42,8.06,319.05,0,5.64,0,0,0,11.28,0,3.22,0,89.43,0,0,2.42,0,3.22
 48-58,0,0,0,1.15,22.38,0,0,68.86,0,2.3,4.59,14.35,8.61,1.15,3.44,8.03,1.15,1.15,3.44,5.74,5.74,121.07,1.72,17.79,17.21,428.06,1.72,4.59,7.46,0,2.3,4.59,0,1.72,0,80.91,0,0,2.87,1.15,5.74
 60-70,0,0,0.98,0,29.45,0,0,84.41,0,4.91,4.91,10.8,4.91,0,0.98,9.82,0.98,4.91,1.96,2.94,1.96,51.04,0,2.94,8.83,584.01,0,5.89,0,0,1.96,2.94,0,3.93,0,76.56,0,3.93,0,0,6.87
 72-82,0,0,1.96,0,27.49,3.93,0,87.37,0.98,1.96,10.8,25.52,9.82,0,1.96,15.71,2.94,3.93,0.98,0.98,5.89,80.5,0,6.87,11.78,388.74,0,7.85,1.96,0,0.98,0.98,0,0,0,48.1,0,3.93,6.87,6.87,5.89
 84-94,0,0,0,0,28.68,1.06,3.19,81.78,2.12,2.12,10.62,22.3,19.12,0,1.06,22.3,8.5,1.06,0,1.06,9.56,58.41,0,12.74,6.37,215.59,0,6.37,3.19,0,1.06,5.31,0,0,0,28.68,0,2.12,5.31,7.43,9.56
 96-106,0,0,2.19,0,25.14,1.09,1.09,74.31,3.28,10.93,5.46,12.02,3.28,0,1.09,43.71,4.37,4.37,1.09,1.09,6.56,51.36,1.09,4.37,1.09,147.53,0,3.28,1.09,0,3.28,3.28,0,2.19,0,7.65,1.09,1.09,3.28,10.93,7.65
108-118,0,0,1.53,0,25.28,0.77,2.3,58.98,0.77,9.19,6.89,13.02,14.55,0,0.77,27.57,6.89,7.66,0.77,0.77,8.43,42.89,0.77,4.6,8.43,180.77,0,4.6,0.77,0,0.77,3.83,0,0,0,14.55,1.53,0.77,5.36,6.13,16.09
120,0,0,1.96,0,31.36,3.92,3.92,41.16,0,9.8,7.84,19.6,13.72,0,0,41.16,1.96,3.92,3.92,0,0,47.03,0,1.96,9.8,201.86,0,1.96,1.96,0,0,7.84,0,1.96,0,13.72,1.96,1.96,5.88,7.84,1.96
