stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.37,0,0,0,0,0,0,0.82,0,0,0,0,0.82
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70.09,0,0,0,0,0,0,2.42,0,0,0.81,0,0
 48-58,0,0,1.15,0,0,30.99,0,0,1.72,0,0,0.57,0,0,0,0,1.15,0,0,0,254.2,0,0,0,0,0,0,4.59,0,0,0.57,0,0
 60-70,0,0,0,0,0,162.93,0,0.98,5.89,0,0,0,0,0,0,0.98,3.93,0.98,0.98,0.98,777.37,0.98,0,0.98,0,1.96,0.98,13.74,0,0,0,0,0.98
 72-82,0,0.98,14.72,2.94,0,260.14,0.98,1.96,22.58,0,0.98,0.98,0,1.96,0.98,0,17.67,0,0.98,1.96,903.13,0.98,0,2.94,0,0,0,35.34,0,0.98,0.98,0,0
 84-94,0,0,22.3,3.19,0,211.35,3.19,0,30.8,0,1.06,2.12,1.06,0,0,0,13.81,0,1.06,2.12,520.4,0,1.06,1.06,0,3.19,0,26.55,0,2.12,0,0,2.12
 96-106,0,2.19,10.93,4.37,0,121.31,1.09,1.09,19.67,1.09,1.09,1.09,1.09,0,0,0,17.49,1.09,2.19,1.09,474.3,0,0,0,0,3.28,0,15.3,1.09,0,2.19,1.09,1.09
108-118,0,0,5.36,0.77,0.77,110.3,0,1.53,7.66,0,0,0.77,0.77,0,0.77,0.77,9.19,0.77,2.3,1.53,607.41,0,0.77,0,0,0,0,8.43,0,0,0,0.77,0.77
120,0,0,3.92,0,1.96,92.11,0,0,19.6,0,0,0,0,1.96,0,0,0,0,0,1.96,533.06,0,1.96,0,0,3.92,0,5.88,0,0,1.96,0,0
