stage,endocrine.pancreas,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,15,0,0,0,0,0,1,0,0,0,0,1,0,0,5,0,1,0,0,0,0,3,4,0,0,0,0
 24-34,0,0,8.21,0.82,0,1.64,0,2.46,0,0,0.82,0,0,4.93,0,0.82,15.6,1.64,0,0,0,0,0.82,0.82,6.57,0,0,0,0
 36-46,0,0,3.22,4.03,0,4.03,0,0,0,0.81,0,0,0,0.81,0.81,1.61,20.95,0.81,0,0,0,0.81,0.81,0,6.45,0.81,0,0,0
 48-58,0,0,2.3,3.44,0,1.15,0,2.3,0,0.57,0,0.57,0.57,4.02,0,1.15,32.71,0,0,0.57,0,0,0,0,3.44,0,0,0,0.57
 60-70,0,0,5.89,4.91,0,4.91,0.98,2.94,0,0,0,0,0,6.87,0,0,33.37,0,0,0.98,0,0,0,0,0,0,0,0,0
 72-82,0,0,3.93,2.94,1.96,0,0,2.94,2.94,0,0,0,0,2.94,0,0.98,24.54,0,0,1.96,0,0,0.98,0,0.98,0.98,0.98,0,0
 84-94,0,0,6.37,2.12,0,2.12,0,4.25,1.06,0,0,0,0,0,0,0,13.81,1.06,0,1.06,0,0,1.06,0,1.06,0,0,0,0
 96-106,1.09,0,9.84,3.28,0,4.37,0,1.09,0,0,1.09,1.09,0,0,0,0,6.56,1.09,0,2.19,0,0,0,0,0,0,0,1.09,0
108-118,0,0,5.36,0,0,8.43,0,2.3,1.53,0,0.77,0,2.3,1.53,1.53,1.53,3.83,0,0,0.77,0,0,0,0,1.53,0,0,0,0
120,0,0,15.68,3.92,1.96,5.88,0,0,0,0,0,0,0,0,0,0,15.68,0,0,1.96,1.96,0,0,0,0,0,0,0,0
