stage,blastomeres,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,mesenchyme,muscle,neural,periderm,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,7.89,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,6.57,0,0.82
 36-46,0,0,0,0,0,0.81,0,0,1.61,0,5.64,0,0
 48-58,0,0,0.57,0,0,1.15,0,0,0,0,1.15,0,0
 60-70,0,0,0.98,0.98,0.98,0,0.98,0,0.98,0,3.93,0,0
 72-82,0,0,0.98,0,0,0,0,0,0,0,1.96,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,1.09,0
108-118,0,0.77,0.77,0,0,0.77,0,0,0,0,1.53,0,0
120,0,0,0,0,0,0,0,0,0,0,1.96,0,0
