stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,245.19,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,0,0,5.26,0,0,0,26.29,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,233.96,7.89,0,0,63.09,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,9.44,0,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,195.11,3.15,0,0,78.67,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,1,6,37,8,0,33,0,0,0,5,0,0,1,0,0,0,0,0,2,72,0,96,267,23,0,6,7,0,0,41,1,31,284,155,0,0,6,0,1
 24-34,0,0,0.82,4.1,9.03,0.82,0,31.19,0,0.82,0.82,4.1,1.64,0,4.1,0,0.82,0,1.64,1.64,0,114.1,0,117.38,315.21,13.13,0,2.46,0,0,1.64,0,0,2.46,23.8,150.22,0,0,18.88,0,0
 36-46,0,0,0,0,0,0,0,28.2,0,0,3.22,16.11,0.81,0,2.42,0,0,0,0,3.22,0.81,149.85,0.81,114.41,244.92,5.64,0.81,0.81,0,0,0,0,0,0.81,0,108.77,0,0.81,4.03,0,0.81
 48-58,0,0,0,0,2.3,0,0,61.4,0,0,5.16,40.74,0,0,2.3,0,0,0,0,4.02,1.15,281.74,2.3,114.76,198.54,4.02,0,4.02,0,0,1.15,0,0,0,0,110.17,0,1.15,1.15,0,0.57
 60-70,0,0,0,0,0,0,0,41.22,0,0.98,2.94,53,0.98,0,1.96,0,0,0.98,0,4.91,0.98,373.96,2.94,68.71,183.54,1.96,0,1.96,0,3.93,0,0,0,0.98,0,59.87,0,6.87,4.91,0.98,0
 72-82,0,0,1.96,0,3.93,1.96,6.87,64.79,0.98,0,15.71,116.82,4.91,0,2.94,0,0,0,3.93,6.87,0,545.8,6.87,82.46,190.44,0.98,0,11.78,0,6.87,0,0.98,0,0.98,0,50.06,0,14.72,12.76,6.87,0
 84-94,0,0,0,0,6.37,0,19.12,46.73,0,0,3.19,60.54,14.87,1.06,1.06,0,0,0,2.12,27.61,0,368.53,4.25,56.29,112.58,0,0,10.62,0,5.31,0,0,0,1.06,0,37.17,0,8.5,9.56,2.12,1.06
 96-106,0,0,0,0,7.65,2.19,17.49,53.55,0,0,10.93,99.45,25.14,0,4.37,0,0,0,4.37,48.09,1.09,556.26,5.46,50.27,113.66,2.19,1.09,13.11,0,14.21,4.37,0,1.09,0,0,43.71,0,9.84,19.67,6.56,4.37
108-118,0,0,0,0.77,6.89,0.77,48.26,30.64,0,3.06,10.72,83.49,36,0,0,0.77,0.77,1.53,0,116.43,0,500.94,3.06,55.92,117.96,1.53,0,13.02,0,15.32,3.06,0,0.77,0,0,26.04,0,9.19,10.72,5.36,3.06
120,0,0,0,0,3.92,1.96,19.6,29.4,0,1.96,3.92,74.47,7.84,0,0,3.92,0,0,3.92,47.03,0,350.8,11.76,31.36,94.07,3.92,0,1.96,0,15.68,1.96,0,1.96,0,0,23.52,1.96,7.84,11.76,11.76,0
