stage,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,immune,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,1,5,0,0,0,0,0,2,0,1,0,0,0
 24-34,0,0,0,1.64,1.64,0,0,0,0,0,0,0,2.46,0.82,0,0,0,0.82,0,0,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,4.83,0,0,0.81,0,0.81,0,0,0,1.61,2.42,0
 48-58,0,0,0,0.57,1.72,0.57,0.57,0.57,0,0,0,0,4.02,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,1.96,0,0,0.98,0,0,3.93,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,0.98,0,0,1.96,0,0,3.93,0,0.98,0,0,0.98,0,0,0,0.98,0.98,0
 84-94,0,0,0,0,2.12,0,0,1.06,0,1.06,0,0,3.19,1.06,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,3.28,0,2.19,0,0,3.28,0,0,0,0,1.09,0,0,0,0,3.28,1.09
108-118,0,0.77,0,0,0.77,0,0,6.13,0.77,2.3,0,0,3.06,0,0,0,0,0,0,0.77,0,0,3.06,0.77
120,0,0,0,1.96,0,0,0,15.68,0,0,1.96,0,1.96,0,0,0,0,0,0,0,0,0,5.88,0
