stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,5.26,0,0,0,0,7.89,0,0,0,0,0,0,0,0,23.66,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,12.59,0,0,0,6.29,0,0,0,0,12.59,0,0,0,0,0,0,0,0,47.2,3.15,0,0,9.44,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,10,4,0,1,0,0,2,1,0,1,0,0,0,28,0,0,7,45,2,0,0,3,0,0,6,0,0,4,21,0,0,0,0,0
 24-34,0,0,0.82,0,0.82,0,0,4.93,0.82,0,1.64,0.82,0,0,0,0,0,22.98,0,0,3.28,86.19,0,0.82,0,0,0,0,0,0.82,0,3.28,31.19,0,0,2.46,0,0
 36-46,0,0,0,0,0.81,0,0,23.36,0,0.81,7.25,0,0,0.81,0,0,0.81,23.36,0,1.61,4.83,211.89,0,0.81,0,0,0,1.61,0,0,0,0,45.92,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,49.92,1.72,4.02,6.31,0,0.57,1.72,0,0.57,0,37.3,0,0.57,5.74,179.03,0.57,0,0,0,0.57,1.15,0,0,0,0,50.49,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,2.94,0,126.62,0.98,0,5.89,0,0,1.96,0,0,0,72.63,0,1.96,3.93,256.18,0,1.96,0.98,0,0,0,0,0,0,0,44.17,0,1.96,1.96,1.96,1.96
 72-82,0,0,0.98,0,2.94,5.89,0,116.82,0,1.96,11.78,0.98,0,0,0,0,0.98,109.95,0,4.91,2.94,207.13,0.98,0,0,0,0,0,0,2.94,0,0,23.56,0,0,1.96,0.98,0
 84-94,0,0,1.06,0,2.12,6.37,1.06,107.27,0,1.06,5.31,1.06,0,2.12,0,1.06,0,92.4,1.06,1.06,1.06,99.83,1.06,0,0,0,1.06,1.06,0,1.06,1.06,0,10.62,0,2.12,6.37,2.12,0
 96-106,0,0,0,0,4.37,5.46,0,85.24,0,2.19,13.11,1.09,0,2.19,1.09,1.09,0,75.41,1.09,1.09,1.09,108.19,2.19,1.09,0,0,0,0,0,0,0,0,6.56,1.09,1.09,2.19,1.09,0
108-118,0.77,0,0,0,1.53,2.3,0,43.66,0,2.3,5.36,0,0,2.3,0,0,0,48.26,0.77,0.77,3.06,115.66,3.06,0.77,0.77,0,0,1.53,0,0,0,0,7.66,0,0,0.77,0,0.77
120,0,0,0,0,0,7.84,0,25.48,0,1.96,3.92,0,0,0,0,0,0,35.28,0,1.96,0,92.11,1.96,0,0,0,1.96,0,0,0,0,0,5.88,0,0,1.96,0,0
