stage,axial,blastomeres,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,5.26,0,0,0,0,2.63,0,0,0,0,18.4,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,9.44,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,16,4,0,1,0,1,2,0,6,13,1,0
 24-34,0,0,0.82,0,0,4.1,0,0,0.82,0,1.64,1.64,0,6.57,0.82,20.52,0,0,0,0,0,0,0,0.82,9.03,0.82,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,1.61,2.42,6.45,0,0,0,0,0,0,0,0,5.64,0,0
 48-58,0,0,0,0,0,2.87,0,0.57,0.57,0,0,0,0,2.3,1.72,10.33,0.57,0.57,0,0,0,0.57,0.57,0,1.15,1.15,0
 60-70,0,0,0,0,0,5.89,0.98,0,0.98,0,0.98,0,0,0.98,0,9.82,0,0,0,0,0,0.98,0,0,1.96,0,0
 72-82,0,0,0,0.98,0,12.76,0,0,4.91,0.98,0,0,0,0.98,0.98,9.82,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,5.31,0,0,0,0,0,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,2.19,0,2.19,0,0,1.09,0,0,0,0,2.19,0,6.56,0,0,0,0,0,0,0,0,2.19,0,1.09
108-118,0,0,0,0,0.77,2.3,0,0,6.89,0,0,0,0.77,0,2.3,3.83,0.77,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,3.92,0,0,3.92,0,0,0,1.96,3.92,0,13.72,0,0,0,0,0,0,0,0,0,0,0
