stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,508.76,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,5.26,0,0,0,23.66,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,152.47,5.26,0,0,52.57,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,18.88,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,3.15,0,0,53.5,0,0,0,6.29,0,3.15,0,0,0,0
 14-21,0,0,0,2,5,1,0,5,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,4,64,1,0,2,2,0,1,13,0,11,29,0,1,0,0
 24-34,0,0,0,0,5.75,0,0,12.31,0,0,0,0.82,1.64,0,0,0,0,0,0,1.64,13.13,0,0.82,3.28,166.63,0.82,1.64,3.28,0,0,1.64,0,0,2.46,22.16,0,2.46,0,0
 36-46,0,0,0,0,3.22,0,0,20.95,0,0.81,0.81,4.03,0,0,0,0,0,0,0,0,9.67,0.81,0,2.42,96.68,1.61,0,1.61,0,0,2.42,0,0,0,23.36,0,0.81,0,0
 48-58,0,0,0,0,2.3,0,0,24.67,0.57,0,0,6.31,0,0,0,0.57,0,0.57,0,0,11.48,0,0.57,1.15,57.95,0,0.57,0,0,0,0.57,0,0,0,16.07,0,0,0,0.57
 60-70,0,0,0.98,0,4.91,0,0,22.58,0.98,0,0,7.85,0,0,0.98,0.98,0.98,0.98,0,0,17.67,0,1.96,1.96,60.85,0,0.98,0,0,0,0.98,0,0,0,5.89,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,15.71,0,0,0,8.83,0,0,0,0.98,0.98,0,0,0,19.63,0,0,2.94,48.1,0,0,0.98,0,0.98,3.93,0,0,0,1.96,0.98,1.96,0.98,0
 84-94,0,0,1.06,0,6.37,0,0,13.81,0,0,2.12,5.31,0,0,0,0,0,1.06,0,0,13.81,0,1.06,4.25,27.61,0,0,0,0,0,0,0,1.06,0,1.06,0,3.19,1.06,1.06
 96-106,0,0,0,0,1.09,0,0,8.74,0,2.19,1.09,9.84,1.09,0,0,1.09,0,0,1.09,0,13.11,0,1.09,0,25.14,0,0,1.09,0,0,0,0,0,0,3.28,1.09,1.09,0,0
108-118,0,0,0,0,4.6,0.77,0.77,7.66,0,0,2.3,3.83,1.53,0,1.53,0.77,2.3,0,0,0,6.89,0,0,1.53,27.57,0.77,0,1.53,0,0,1.53,0,0,0,1.53,0,0,0,0.77
120,0,0,0,0,11.76,0,0,3.92,0,3.92,1.96,0,0,0,1.96,0,0,0,0,0,7.84,0,3.92,3.92,21.56,3.92,0,0,0,0,1.96,0,0,0,0,1.96,1.96,1.96,0
