stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,2,11,3,0,0
 24-34,0,0,0,2.46,0,0,0,0,0.82,0,0,0,0,0,0.82,0,25.45,0,5.75,0.82,0,0.82,0,0,0,0.82,4.1,0,0.82
 36-46,0,0,0,10.47,0,0,0,1.61,0,0,0,0,0,0.81,0,0.81,22.56,0,1.61,0,0,0,0,0,0,0,8.86,0,0.81
 48-58,0,0.57,0,11.48,0.57,0.57,0,1.15,0.57,0,0,0,0,1.72,0.57,0,27.54,0,0,0,0,0,0,0,0,0,5.16,0,0
 60-70,0,1.96,0,8.83,0,0,0.98,0,0,0,0,0,0.98,0,0,0.98,34.35,0,0,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0.98,0.98,5.89,0,0,0,0.98,0,0,1.96,0,0,0.98,0,0,11.78,0,0.98,0,0,0,0,0,0,0,0,0,0
 84-94,0,2.12,3.19,7.43,0,0,0,0,0,0,0,1.06,0,1.06,0,1.06,13.81,0,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,5.46,0,0,0,0,0,0,0,0,0,2.19,0,0,7.65,0,4.37,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,4.6,0,0,0,1.53,0,0,0,0,0,1.53,0,0.77,9.19,0,2.3,0,0,0.77,0,0,0,0,0,0.77,0
120,0,0,0,1.96,0,0,0,0,0,0,1.96,0,0,0,0,0,7.84,0,1.96,0,0,0,0,0,0,0,0,0,0
