stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0.82,2.46,0.82,0,0,0,7.39,1.64,0,1.64,0,0
 36-46,0,0,4.83,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0.81,1.61,0,0,0.81,0,10.47,0.81,0,0,0,0
 48-58,0,0,1.72,0,0.57,0,0,0,0.57,0,0.57,1.15,0,0.57,0,0,0,1.15,0.57,0,0,0,2.87,0,0,0,0,0
 60-70,0,0,0.98,1.96,3.93,1.96,0,0,0.98,0,0,0.98,0,3.93,0.98,0,0,1.96,0,0,0,0,2.94,0,0,0,0,0
 72-82,0,0,2.94,0.98,0,0.98,0,0,0.98,0,0,0,0,2.94,1.96,0,0.98,1.96,0,0,0,0,3.93,0.98,0,0,0.98,0
 84-94,0,0,8.5,3.19,3.19,0,0,0,1.06,0,0,1.06,0,3.19,0,0,0,1.06,2.12,0,0,0,18.05,0,0,0,1.06,0
 96-106,0,0,4.37,1.09,0,0,2.19,0,1.09,0,0,0,0,2.19,0,0,1.09,2.19,1.09,0,0,1.09,14.21,0,0,0,0,0
108-118,0,0,9.19,0,5.36,0,3.06,0,0,0,0.77,0,1.53,5.36,1.53,0,0,2.3,0,1.53,0.77,0,17.62,0,0,0.77,0,0.77
120,0,0,13.72,1.96,7.84,0,1.96,0,1.96,1.96,1.96,0,0,1.96,1.96,1.96,0,0,0,1.96,1.96,0,21.56,0,1.96,0,0,0
