stage,epidermis,eye,fin_mesenchyme,glial,iridophores,mesenchyme,neural,olfactory,pericytes,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,1
 24-34,0,0,0,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,11.28,0,0,4.83
 48-58,0,1.15,0,0,0,0,25.25,0,0,3.44
 60-70,0,16.69,0,1.96,0,0,76.56,0.98,0,8.83
 72-82,0,18.65,0.98,0.98,0,0.98,52.03,0,0,5.89
 84-94,1.06,12.74,0,0,0,0,12.74,0,0,1.06
 96-106,0,13.11,0,1.09,0,0,20.76,0,0,2.19
108-118,0,5.36,0,0,0.77,0.77,20.68,0,0,0
120,0,7.84,0,0,0,1.96,19.6,0,1.96,0
