stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,20,2,6,0,0,0,1,4,0,0,0,2,0,0,0,0,5,0,2,71,6,0,0,3,2,1,11,0,2,13,32,0,0,0
 24-34,0,0,0,0.82,0,14.78,0,1.64,1.64,4.1,0.82,0.82,0.82,0.82,0.82,0,0,0.82,0,7.39,0,4.1,153.5,0.82,5.75,3.28,0,2.46,0,0,0.82,0.82,0.82,43.51,0,4.1,0
 36-46,0,0,0,2.42,0,20.95,0,0.81,0,2.42,0,0,0,0,0.81,0,0,0,0.81,9.67,0,1.61,133.74,0,0,0.81,0,4.03,0,0,0,0,0,27.39,0,0.81,0
 48-58,0,0,0,0.57,0,59.1,0,0.57,1.15,8.03,0,0,0,0,0,0.57,0,0.57,0.57,15.49,0,0.57,211.73,0,1.15,1.72,0,2.87,0,0,0,0,0,40.17,0.57,3.44,0.57
 60-70,0,0,0,2.94,0,95.21,0,0,0.98,8.83,0,0,0.98,0,0,0.98,0,0,0,29.45,2.94,2.94,290.53,0,1.96,0,0,4.91,0,0,0.98,0,0,27.48,1.96,0,0
 72-82,0,0,0,1.96,2.94,72.64,0.98,0,2.94,13.74,0.98,0,0,0,0.98,0.98,0.98,0,0,23.56,0.98,0.98,150.19,0.98,2.94,0.98,0,3.93,0,0,0,0,0,10.8,0.98,1.96,1.96
 84-94,0,0,0,2.12,1.06,32.92,0,0,0,6.37,1.06,0,0,1.06,0,0,0,0,0,12.74,1.06,3.19,63.72,1.06,2.12,1.06,0,8.5,0,0,0,0,0,5.31,0,2.12,0
 96-106,0,0,0,1.09,1.09,24.04,0,1.09,0,8.74,0,0,0,1.09,2.19,1.09,1.09,0,0,10.93,0,0,51.36,1.09,1.09,2.19,0,7.65,0,0,0,0,0,1.09,1.09,4.37,0
108-118,0,0.77,0,2.3,0,11.49,0,0,0.77,7.66,0.77,0,1.53,3.06,0,0,0,0,0,10.72,0,0.77,49.02,0,2.3,0,0,0.77,0,0,0,0.77,0,2.3,0,0.77,0
120,0,1.96,0,3.92,1.96,23.52,0,1.96,1.96,11.76,0,0,1.96,0,1.96,0,0,0,0,13.72,0,0,78.39,0,0,1.96,0,5.88,0,0,1.96,0,0,5.88,0,0,1.96
