stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,1,0,0,1,0,0,0,0,0,0,2,10,0,0,1,0,0,4,0,8,0,0,0
 24-34,0,1.64,0,2.46,0.82,0,1.64,0,0,0,0,4.93,0,0,25.45,0,0,0,0,0.82,0,0,7.39,0,0,0
 36-46,0,0.81,0,5.64,0,0,0.81,0,0.81,0,0,1.61,0,0,24.98,0,0,0,0,0,0,0,8.06,0.81,0,0
 48-58,0,0,0.57,7.46,0.57,0,0,0,0,0,0,4.59,0,0.57,15.49,0,0,0,0,0,0,0,2.87,1.15,0,0.57
 60-70,0,0,0,14.72,0,0,0.98,0,0.98,0,0.98,1.96,0,0.98,27.48,0.98,0,0,0.98,0,0,0,1.96,0,0,0
 72-82,0,0,0,16.69,0,0.98,3.93,0,0.98,0,0,3.93,0,0.98,37.3,0,0.98,0,0,1.96,0,0,3.93,2.94,0,0
 84-94,0,2.12,0,8.5,0,0,1.06,0,0,0,0,4.25,0,0,5.31,1.06,0,0,0,1.06,0,0,3.19,0,1.06,0
 96-106,0,0,0,3.28,0,0,2.19,0,0,0,0,0,3.28,0,8.74,0,0,0,0,0,0,0,0,1.09,0,1.09
108-118,0,0.77,0,1.53,0,0,2.3,0.77,0.77,0.77,0.77,2.3,0.77,0,6.13,0,0.77,0,0,1.53,0,0.77,0,0.77,0,0
120,0,1.96,0,1.96,0,0,0,0,0,0,0,3.92,0,0,5.88,0,1.96,0,0,0,0,0,3.92,1.96,0,0
