stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,iridophores,liver,melanocytes,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,5,1,0,0,0
 24-34,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0.82,2.46,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0.81,0,0,5.64,0,0,3.22,0,0,3.22,0,0.81,0,0,0,0,0,0.81
 48-58,0,0,0.57,0.57,4.59,0,0,0,3.44,0,0,4.59,1.72,0.57,12.62,0,0,0,0,0,2.3,0.57,0
 60-70,0,0,0,0,2.94,0,0.98,0,2.94,0,0,0,0.98,0,4.91,0,0,0.98,0,0,0.98,0,0
 72-82,0,0,0,0,0,0,0,0,2.94,0,0,0.98,0,0,2.94,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,0,0,0,0,3.19,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,1.09,1.09,9.84,1.09,1.09,1.09,0,0,8.74,0,0,2.19,0,0,1.09,0,0
108-118,0,0,0,0.77,0.77,0,0,0,6.89,0,0,0.77,0,0,5.36,0.77,0,0,0,0,0,0.77,0.77
120,0,0,3.92,0,1.96,0,0,0,3.92,0,0,0,1.96,0,5.88,0,0,0,0,0,0,0,0
