stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,1,17,1,0,0,1,1,3,0,3,5,0,2,0
 24-34,0,0,0,0,1.64,0,5.75,0,0.82,0,1.64,0,0,0,1.64,0,0,0,5.75,3.28,0,0,0.82,62.39,0,0,0,0,0,0.82,0,0,8.21,0,8.21,3.28
 36-46,0,0,0.81,0,0,0.81,9.67,0,0,0,2.42,0,0,0.81,0.81,0,0,0,0.81,5.64,0,0,0.81,65.26,0,0.81,0,0,0,0,0,0,7.25,0,5.64,2.42
 48-58,0,0,0,0,0.57,0,11.48,0,0,0,4.59,0.57,0.57,0.57,0,0.57,0,0,3.44,6.89,0,0,1.15,64.27,0,0,0.57,0,0,0,0.57,0,14.35,0,2.87,1.72
 60-70,0,0,0,0,0,0.98,29.45,0,0,2.94,10.8,0.98,0,1.96,0,0.98,0,0,0.98,11.78,0,0,0.98,68.71,0,0,0.98,0,0,0,1.96,0,8.83,0,5.89,3.93
 72-82,0,0,0,0,1.96,0,18.65,0,0,0.98,9.82,0,0.98,0.98,0,1.96,0.98,0,1.96,16.69,1.96,0.98,1.96,42.21,0,0,0,0,0.98,0,0.98,0,4.91,0.98,3.93,2.94
 84-94,0,0,3.19,0,0,1.06,22.3,2.12,0,3.19,14.87,3.19,0,1.06,0,5.31,0,1.06,2.12,11.68,0,1.06,2.12,23.36,0,0,0,0,2.12,0,2.12,0,6.37,0,12.74,4.25
 96-106,0,0,0,0,2.19,0,18.58,0,0,0,8.74,0,1.09,2.19,0,0,1.09,0,1.09,4.37,1.09,0,2.19,20.76,0,0,2.19,0,2.19,0,0,0,1.09,0,10.93,2.19
108-118,0,0,0,0,2.3,0.77,10.72,0,0,0.77,3.06,4.6,0,3.83,0.77,2.3,0,0.77,0,6.89,1.53,0.77,0.77,19.92,0,0,0,0,0,0,3.06,0,2.3,0,6.89,0.77
120,0,0,0,0,1.96,1.96,7.84,0,0,0,0,0,0,3.92,0,0,0,0,0,0,0,0,3.92,23.52,0,3.92,1.96,0,3.92,0,1.96,0,0,0,1.96,0
