stage,axial,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,otic,periderm,slow.muscle,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,5.75,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0,0,0,0,23.36,0,0,0,0,1.61,0,0,0
 48-58,0,0,0,0,4.02,0,0,1.15,0,0.57,0,0,0,0.57,31.56,0,0,0,0,2.3,0,0,0
 60-70,0,0,0.98,0,9.82,0,0.98,1.96,0,0,0,4.91,0,0,106,0,0,0,0.98,6.87,0,0,0
 72-82,0,0,0.98,0,25.52,0,0,9.82,0,0,0,3.93,0,0,264.07,0,0,0,0,2.94,0,0,0
 84-94,0,0,0,0,28.68,1.06,0,2.12,0,0,0,0,0,0,126.38,0,0,0,0,2.12,0,0,0
 96-106,0,0,1.09,0,6.56,0,0,3.28,1.09,0,0,1.09,1.09,0,111.47,0,1.09,2.19,0,0,0,0,0
108-118,0,0,0,0.77,9.19,0,0,1.53,0,0,0.77,4.6,0,0.77,122.55,0,0.77,1.53,0,2.3,0,0.77,0.77
120,0,0,0,0,7.84,0,0,5.88,0,0,0,1.96,0,0,170.5,0,1.96,1.96,0,3.92,1.96,0,0
