stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,pericytes,periderm,pronephros,spinal_cord,taste,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,18,0,0,0,0,0,0,1,22,0,0,0,0,0,0,0,1,0,0,0,1,0,0,14,0
 24-34,0,0,0,5.75,0,0,0,0,0,0,2.46,53.36,0,0,0,0,0,0,0,7.39,0,0.82,0,13.95,0,0,59.1,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0.81,91.85,0,0,0,0.81,0,0,0,9.67,0,0,1.61,6.45,1.61,0,30.62,0
 48-58,0,0,0,0.57,0,4.02,0,0,0.57,0,1.72,67.71,0,0,0,1.72,0,0,0.57,1.72,0,0,0,2.87,0.57,0,28.69,0
 60-70,0,0,0.98,0.98,0,16.69,0,0,1.96,0,2.94,85.39,0,0,0,0.98,0,0,0,2.94,0,0.98,0,2.94,0.98,0,22.58,0
 72-82,0,0,5.89,1.96,0,25.52,0.98,0,4.91,3.93,2.94,108.96,0,0,0,0.98,0,0.98,0,3.93,0,0.98,0.98,13.74,0,0,59.88,0
 84-94,0,0,3.19,0,0,64.78,0,0,5.31,2.12,0,178.42,0,0,1.06,4.25,0,1.06,0,2.12,1.06,0,0,11.68,0,1.06,45.67,0
 96-106,0,0,14.21,3.28,0,53.55,1.09,0,0,4.37,2.19,172.67,1.09,1.09,2.19,3.28,0,0,0,6.56,0,0,3.28,20.76,0,0,54.64,1.09
108-118,0,0,10.72,3.06,0.77,68.17,0.77,0.77,6.13,5.36,1.53,138.64,1.53,0,1.53,8.43,0.77,0,0.77,3.06,0,0,0,13.79,0.77,0.77,37.53,0
120,0,0,13.72,0,1.96,15.68,0,0,9.8,1.96,0,148.94,0,1.96,0,3.92,0,0,0,5.88,0,1.96,0,31.36,0,0,39.2,0
