stage,axial,blastomeres,endoderm,eye,glial,hatching.gland,immune,iridophores,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature,xanthophores
  3-4,171.31,5455.66,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0
  5-6,91.94,1697.91,0,0,0,6.13,0,0,0,0,0,12.26,36.78,0,0,0
  7-9,5.26,5.26,2.63,2.63,0,18.4,0,0,0,120.92,2.63,68.35,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,18.88,0,6.29,0,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0.82,0.82,0
 48-58,0,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,2.94,0.98,0,0,0,0,0.98,0
 84-94,0,0,0,0,1.06,0,0,0,0,1.06,0,0,2.12,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,0,1.09,1.09,0,0,3.28,0,0,0
108-118,0,0,0,0.77,0,0,0,0.77,0.77,2.3,0,0,0,0,0,0.77
120,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,1.96,0
