stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,29,7,2,0,2,0,3,1,0,0,0,0,0,0,0,2,6,0,0,7,24,0,0,1,0,0,0,0,5,0,2,27,0,0,2,0,0
 24-34,0,0,0.82,0,48.43,0.82,0,0,8.21,0,1.64,0,0,0,0,0,0.82,0.82,0,4.1,9.85,1.64,0,3.28,26.27,0,0,0,0,0,0.82,0,2.46,0,0,10.67,0,0,16.42,0,1.64
 36-46,0,0,0,0,26.59,0,4.03,0,5.64,1.61,4.03,0,0.81,1.61,0,0,0,0,0,0.81,22.56,0.81,1.61,5.64,37.87,0,0,0,0,0,0,0,3.22,0.81,0,19.34,0,0,13.7,0,2.42
 48-58,0,0,0,0,21.8,0,0.57,0,12.05,0.57,5.16,0,0,0.57,0,0,3.44,0,0,0,27.54,2.3,2.3,2.3,49.35,0,0.57,0,0,0,0,0,1.72,0.57,0,17.21,0,1.15,10.33,0,4.59
 60-70,0,0,0.98,0,28.46,0,9.82,0,22.58,0.98,14.72,0,0,0.98,0,1.96,7.85,0.98,0,0,46.13,0,2.94,3.93,126.62,0,0,0,0,0.98,0,0,1.96,0,0,11.78,0,3.93,7.85,1.96,2.94
 72-82,0,0,0.98,0,29.45,0,18.65,1.96,11.78,0,14.72,0.98,0,2.94,0.98,0.98,5.89,0,0,1.96,67.73,1.96,4.91,2.94,197.31,0,0,0.98,0,0.98,0,0,0,0.98,0,18.65,0,4.91,16.69,13.74,1.96
 84-94,0,0,0,0,75.4,0,12.74,0,27.61,1.06,12.74,1.06,0,1.06,4.25,1.06,19.12,1.06,0,2.12,61.6,0,10.62,2.12,107.27,1.06,1.06,0,0,0,0,0,3.19,0,0,8.5,1.06,3.19,12.74,12.74,1.06
 96-106,0,0,0,0,72.13,1.09,18.58,0,16.39,1.09,9.84,3.28,0,1.09,5.46,0,6.56,2.19,0,0,55.74,2.19,5.46,1.09,100.54,1.09,2.19,3.28,0,3.28,1.09,0,0,1.09,0,6.56,1.09,1.09,14.21,27.32,3.28
108-118,0,0,0.77,0,101.87,0.77,16.09,0.77,35.23,1.53,7.66,2.3,0,0.77,4.6,1.53,18.38,0,0.77,3.06,52.85,3.06,3.06,5.36,134.81,0,0,0.77,0,1.53,2.3,0,1.53,0,0,3.06,1.53,3.06,6.13,6.13,4.6
120,0,0,0,0,70.55,1.96,11.76,1.96,31.36,0,7.84,1.96,0,1.96,1.96,1.96,3.92,0,0,0,35.28,7.84,1.96,1.96,164.62,0,0,1.96,0,1.96,0,1.96,3.92,0,0,9.8,0,1.96,15.68,11.76,0
