stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,368.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0
  5-6,18.39,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,6.13,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,5.26,0,0,31.54,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,236.58,7.89,0,0,63.09,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,3.15,0,0,37.76,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,220.29,6.29,0,0,69.23,0,0,9.44,0,6.29,3.15,0,0,0,0
 14-21,0,0,0,1,6,0,1,0,0,0,1,1,0,0,0,0,0,0,0,5,0,0,10,59,1,0,0,3,0,1,0,12,0,8,15,0,0,0
 24-34,0,0,0,0,4.93,2.46,16.42,0,0,0,0,0.82,0,0,0,0,0,0.82,0.82,9.85,0.82,0,4.1,139.55,0,0,0.82,0,0,4.93,0,0,0,4.1,28.73,0,3.28,0
 36-46,0,0,0,0,3.22,1.61,23.36,0,0,0,1.61,0.81,0,0,0.81,0,0,0,0,12.89,0.81,0,3.22,84.6,0,0,0,0,0,3.22,0,0,0.81,0,25.78,0,0,0
 48-58,0,0,0,0,0,0,22.95,0.57,0,0,7.46,0.57,0,0.57,0.57,0,0,0,0,11.48,0,0.57,1.72,59.1,0,0.57,0.57,0,0,0.57,0,0,0,0,18.36,0,0,0
 60-70,0,0,0,0,1.96,0,29.45,0,0,0,2.94,0,0,0,0,0,0,0,0,17.67,0,0,2.94,52.02,0,1.96,0,0,0,0.98,0,0,0.98,0,5.89,0,0.98,0.98
 72-82,0,0,0,0,1.96,0,16.69,0,0,1.96,15.71,0.98,0,0.98,0,0,0.98,0,0,8.83,1.96,0,2.94,59.88,0,0.98,0,0,0,3.93,0,0,0.98,0,2.94,0,0,0
 84-94,0,0,0,1.06,3.19,4.25,18.05,0,0,2.12,10.62,1.06,0,0,0,1.06,1.06,0,0,15.93,0,0,2.12,46.73,0,1.06,0,0,0,6.37,0,0,0,0,5.31,1.06,0,0
 96-106,0,0,1.09,0,3.28,3.28,13.11,0,0,2.19,5.46,1.09,0,2.19,3.28,0,0,1.09,0,13.11,1.09,1.09,1.09,49.18,0,0,3.28,0,2.19,13.11,0,0,0,0,5.46,0,1.09,0
108-118,0,0,0,0,4.6,0.77,16.85,0,1.53,0,5.36,0,0,0,0,0,0.77,0.77,0.77,9.19,0,0,1.53,36.77,0,0,1.53,0,0,2.3,0,0,0,0,0.77,0,0,0
120,0,0,0,0,5.88,1.96,9.8,0,0,5.88,1.96,1.96,0,0,0,0,0,0,0,13.72,0,0,0,58.79,0,1.96,1.96,0,0,1.96,0,0,0,0,0,0,3.92,0
