stage,axial,blastomeres,endocrine.pancreas,epidermis,eye,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,pronephros,vasculature
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0
 24-34,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0.82,0,0,0.82
 36-46,0,0,0,0.81,0,0,0,0,0.81,2.42,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,0,1.15,0.57,0.57,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,3.93,0,1.96,0,0,6.87,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,1.06,7.43,0,1.06,5.31,1.06,5.31,0,0,2.12,0,0,0,0,0
 96-106,0,0,1.09,1.09,0,0,8.74,0,1.09,1.09,0,5.46,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0.77,0.77,0,6.89,0,1.53,4.6,0,5.36,0.77,0,0,0,0,0,0.77,0
120,0,0,1.96,1.96,0,0,11.76,0,3.92,1.96,1.96,1.96,0,0,0,0,0,0,0,0
