stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,6.29,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,8,0,1,0,0,0,0,2,1,2,0,0,0,2,0,1,0,0,2,6,0,0,0,0,0,0,1,1,0,40,6,5,0,0,15,0,0
 24-34,0,0,0,4.1,3.28,0,0.82,0.82,0.82,0,0,0,1.64,9.85,10.67,0,0,4.1,0,4.1,0.82,0,5.75,40.22,0.82,0,1.64,0,0,1.64,0,0,0,8.21,0.82,13.13,0,0,166.63,0,0
 36-46,0,0,0,10.47,1.61,0,6.45,0,2.42,0.81,2.42,0,0,21.75,5.64,0,0,2.42,0,15.31,0,0,3.22,55.59,1.61,0,0,0,0,0,0,0,0,4.83,0,14.5,0,0,100.71,0,0
 48-58,0,0,0,4.59,0,0,11.48,0,2.87,4.59,15.49,0,1.72,8.03,2.3,0,0,0.57,0,26.4,0,0,9.75,48.77,0,0,0,0,0,0.57,0.57,0,0,8.03,0,14.35,0,0,70,0,0.57
 60-70,0,0,0.98,21.59,0.98,0,99.13,0.98,4.91,0.98,89.32,1.96,1.96,32.39,2.94,1.96,0,0,0,78.52,0,0.98,12.76,84.41,0,0,0,0,7.85,0,0,0,0,5.89,0,25.52,0,3.93,59.87,0,0
 72-82,0,0,1.96,29.45,0.98,0,207.13,1.96,6.87,0.98,153.14,2.94,0.98,21.6,8.83,1.96,0,0.98,0,115.84,1.96,0.98,17.67,75.59,0.98,0.98,0.98,0,6.87,1.96,0.98,0,1.96,2.94,0,2.94,0.98,2.94,88.35,0,0
 84-94,0,0,0,63.72,2.12,0,213.47,0,20.18,5.31,78.59,5.31,0,42.48,14.87,2.12,1.06,0,0,66.91,0,1.06,3.19,56.29,2.12,2.12,0,0,3.19,4.25,0,0,3.19,7.43,0,7.43,4.25,3.19,83.9,1.06,0
 96-106,0,0,2.19,74.31,1.09,0,212.01,2.19,10.93,2.19,102.73,4.37,0,75.41,16.39,0,0,2.19,0,88.52,2.19,2.19,4.37,46.99,1.09,2.19,0,1.09,10.93,5.46,0,0,0,4.37,0,5.46,6.56,6.56,68.85,3.28,1.09
108-118,0,0,1.53,75.06,0,8.43,194.55,0,26.81,5.36,66.64,8.43,0,45.19,22.21,4.6,0,0.77,0.77,62.04,2.3,4.6,8.43,53.62,0,0.77,2.3,0,9.19,4.6,0,0,1.53,6.89,0,2.3,3.06,0.77,62.04,1.53,0
120,1.96,0,1.96,74.47,0,1.96,158.74,0,15.68,3.92,97.99,9.8,0,52.91,15.68,0,0,0,0,60.75,1.96,3.92,7.84,50.95,1.96,1.96,0,0,5.88,5.88,0,0,0,1.96,0,1.96,3.92,0,29.4,0,0
