stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,6,0,0,0,0,0,1,0,2,0,0,1,0,0,0,0,0,12,0,0,0,0,0,2,0,1,7,1,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,6.57,0,0,0,0,0,0.82,0,0,0,0.82,0,0,2.46,0,0,0.82,13.13,0,0,0,0,1.64,0,0.82,0.82,1.64,1.64,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,2.42,0,0,0,1.61,0,0,0,0.81,0,0.81,0,0,0.81,0,0,0,19.34,0,0,0,0,0.81,0,0,0.81,0.81,4.83,0,0,0.81,0,1.61
 48-58,0,0,0,1.15,0,0,5.74,0,0,0,2.3,0,0,0,1.15,0,0,0,0,3.44,0,0,0,22.95,0,0.57,0,0,1.15,0,0.57,0,0,4.02,0,0,0,0,0
 60-70,0,0,0,0,0,0,13.74,0,0.98,0,5.89,0.98,0,2.94,0.98,0,0,0,1.96,1.96,0,0,0,47.11,0,0.98,0,0,0,0,1.96,0.98,0,13.74,0,0,0,0,0.98
 72-82,0,0,0,2.94,2.94,0,16.69,0,0,0.98,10.8,0.98,0,0.98,0,0,0.98,0.98,0,17.67,0,0,0.98,67.73,0,0.98,0,0,6.87,0,0,0.98,0,12.76,0,2.94,0.98,0.98,1.96
 84-94,0,0,0,3.19,4.25,0,19.12,0,2.12,0,5.31,1.06,0,1.06,1.06,1.06,0,0,0,8.5,0,0,1.06,32.92,0,2.12,2.12,0,19.12,0,2.12,0,0,8.5,0,0,0,0,1.06
 96-106,0,0,0,8.74,7.65,2.19,15.3,0,1.09,2.19,14.21,2.19,0,1.09,2.19,1.09,1.09,0,0,5.46,1.09,0,3.28,34.97,1.09,1.09,3.28,0,42.62,0,0,0,0,3.28,0,1.09,2.19,0,4.37
108-118,0,0,0.77,9.19,4.6,4.6,35.23,0.77,4.6,0,6.89,6.13,0,0.77,2.3,1.53,1.53,2.3,0.77,10.72,0.77,0,2.3,39.06,0.77,0,3.83,0,19.92,0,3.06,2.3,0,2.3,0.77,0.77,0.77,0,6.13
120,0,0,0,29.4,7.84,1.96,27.44,1.96,7.84,0,17.64,1.96,0,0,0,0,1.96,0,0,13.72,1.96,1.96,3.92,45.08,1.96,1.96,7.84,0,33.32,0,0,5.88,0,0,0,1.96,3.92,0,0
