stage,blastomeres,epidermis,erythrocytes,eye,glial,mesenchyme,neural,paraxial_mesoderm,spinal_cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,0,2,0,3,0
 24-34,0,0,0,0.82,0,0,13.13,0,0,0
 36-46,0,0,0,1.61,0,0,44.31,0,0,0
 48-58,0,0,0,0,0,0,37.3,0,0.57,0
 60-70,0,0.98,0,0,0,0,28.46,0,0,0
 72-82,0,1.96,0,0.98,1.96,0,27.49,0,0,0
 84-94,0,3.19,0,2.12,1.06,1.06,11.68,0,0,1.06
 96-106,0,0,2.19,1.09,0,0,9.84,0,0,0
108-118,0,1.53,0,0.77,0,0,15.32,0,0,0.77
120,0,1.96,0,0,0,0,9.8,0,1.96,0
