stage,axial,blastomeres,endoderm,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature
  3-4,421.69,8565.66,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0
  5-6,140.98,1170.76,0,0,0,0,0,6.13,0,0,0,91.94,0,6.13,6.13,0,0,0
  7-9,2.63,0,2.63,2.63,0,0,0,5.26,0,0,0,76.23,0,13.14,0,52.57,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,12.59,0,6.29,0,15.73,0,0
 14-21,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,6,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,3.28,0.82,0,0,0,0.82,0.82
 36-46,0,0,0,0,0,0,0,0,0,1.61,0,2.42,0,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0,0,0.57,0
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0.98,0,0.98,1.96,0,0,0,0,0,0
 84-94,0,0,0,1.06,1.06,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,0,1.09,1.09
108-118,0,0,0,0.77,0,0,0,0,0,2.3,0.77,0.77,0,0,0,0,0,0
120,0,0,0,0,0,1.96,0,0,1.96,0,0,0,0,0,0,0,0,0
