stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,0,1,0,1,0,2,0,253,470,3,0,0,0,0,0
 24-34,0,0,0,0,8.21,0,0,13.13,225.74,0,0.82,1.64,0.82,0,0,0.82,1.64,0,0.82,0,1.64,9.85,0,0,37.76,141.19,0.82,1.64,0.82,0,0,9.03,0.82,202.75,372.67,17.24,0,0,4.1,0,1.64
 36-46,0,0,0,0,5.64,0,0,21.75,472.93,0.81,1.61,7.25,0,0,0.81,1.61,0,0,0,0.81,3.22,14.5,0,0,20.95,119.24,2.42,0.81,1.61,0,0,10.47,0.81,116.02,25.78,31.42,0,0,4.03,0,1.61
 48-58,0,0,0,0,5.74,1.15,0,79.19,450.44,1.72,0.57,17.79,0.57,0,0.57,0.57,0,0,1.15,0.57,1.15,25.82,0,0,28.69,207.72,0.57,1.15,0,0,0,9.75,0,66.56,0,53.94,0,0,2.3,0,6.89
 60-70,0,0,0,0,4.91,1.96,0,55.95,340.59,0,0.98,23.56,0.98,0,0.98,0.98,0,1.96,0.98,0,0,24.54,0,0,36.32,119.75,0.98,0.98,0,0.98,0,7.85,0.98,34.35,0,27.48,0,0,0.98,0,3.93
 72-82,0,0,2.94,0,4.91,5.89,0,61.84,250.32,0.98,2.94,63.81,1.96,0,0,2.94,0.98,0,0.98,0.98,1.96,37.3,0,0,26.5,108.96,0.98,0,0.98,0,0,5.89,0,29.45,0,8.83,0.98,0.98,1.96,1.96,4.91
 84-94,0,0,4.25,1.06,11.68,8.5,0,42.48,398.26,1.06,1.06,55.23,5.31,1.06,0,4.25,3.19,2.12,1.06,3.19,0,28.68,0,2.12,30.8,79.65,0,3.19,0,0,0,22.3,0,61.6,0,6.37,0,0,4.25,4.25,2.12
 96-106,0,0,1.09,0,15.3,13.11,0,76.5,665.54,4.37,4.37,109.28,3.28,0,4.37,4.37,5.46,2.19,1.09,4.37,0,44.81,1.09,2.19,44.81,134.42,2.19,1.09,1.09,0,1.09,20.76,1.09,75.41,0,13.11,0,1.09,8.74,8.74,4.37
108-118,0,0,0.77,3.06,8.43,3.06,3.83,52.09,516.26,2.3,0,72.77,6.13,0,0,2.3,7.66,2.3,0,3.83,0.77,30.64,0.77,1.53,52.85,97.28,0.77,0,0.77,0,1.53,18.38,0,69.7,0,7.66,0,0.77,3.83,3.83,3.06
120,1.96,0,1.96,0,5.88,1.96,1.96,37.24,299.85,1.96,0,56.83,3.92,0,1.96,0,1.96,1.96,0,3.92,0,25.48,0,1.96,58.79,86.23,1.96,0,1.96,0,0,7.84,0,11.76,0,7.84,0,0,0,0,1.96
