stage,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,glial,iridophores,lateral.line,mesenchyme,mucous,neural,notochord,otic,pericytes,periderm,slow.muscle,somites,spinal.cord,taste,vasculature,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,2.46,0,0,0,2.46,0.82,0,41.04,0,0,0
 36-46,0,0,0,3.22,0,1.61,0,0,0,0,13.7,0,0,0,0.81,0,0,70.09,0,0,0
 48-58,0,0,0,18.94,0,6.31,0,0,1.72,0,33.85,0.57,0,0,0,0,0,56.81,0,0.57,0.57
 60-70,0,0,0.98,51.04,0,6.87,0,0,0,0,94.23,0,0,0.98,0,0,0,39.26,0,0,0
 72-82,0,1.96,0,66.75,0,4.91,0,0,0.98,0,110.93,0,0,0,0,0,0,26.5,0,0,0
 84-94,0,1.06,0,53.1,2.12,10.62,0,0,4.25,1.06,100.89,3.19,0,0,0,0,0,10.62,0,0,0
 96-106,0,2.19,0,46.99,0,16.39,0,0,1.09,0,76.5,0,1.09,0,0,0,0,7.65,0,0,0
108-118,0,0.77,0.77,39.06,0,16.85,0.77,0,0,0,68.94,0,0,0,0,0,0,9.19,0.77,0,0
120,0,0,0,39.2,0,15.68,0,1.96,0,0,111.71,1.96,1.96,0,1.96,0,0,1.96,0,0,0
