stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254.99,10.51,0,0,113.03,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,56.65,40.91,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,2338.2,50.35,0,0,903.18,0,18.88,0,0,22.03,0,28.32,0,0,0,0,0,0
 14-21,0,0,4,1126,7,0,153,0,0,0,51,23,2,0,0,3,0,0,0,0,48,4,0,45,3106,98,1,1,66,0,54,0,363,4,42,380,701,0,0,0,0,1
 24-34,0,0,4.93,292.22,3.28,0,471.17,0,14.78,22.98,114.1,6.57,1.64,0,0,0.82,0.82,3.28,0.82,1.64,268.42,2.46,0.82,273.35,2790.09,50.07,5.75,3.28,0,0,11.49,0,4.1,0,48.43,149.4,566.39,0,0,6.57,0,0
 36-46,0,0,0.81,103.13,0,0,721.88,7.25,27.39,90.23,147.44,4.03,0,0,0.81,0.81,7.25,4.83,2.42,2.42,545.44,0.81,0,287.62,1703.99,78.96,0.81,4.03,0,0,5.64,0,0.81,0.81,41.09,1.61,512.41,0,0,2.42,0,2.42
 48-58,0.57,0,0.57,81.48,0,0,732.18,8.03,44.76,117.63,170.42,0.57,0,0.57,1.72,0.57,16.07,4.02,1.15,1.15,652.42,1.15,1.72,218.05,704.06,122.22,1.15,1.72,0,0,1.72,0,0,0,20.08,0.57,242.72,0,0,2.3,0.57,1.72
 60-70,2.94,0,0,54.97,0,0,473.09,3.93,15.7,128.58,101.1,0.98,0,0.98,0,0,22.58,6.87,0,0,586.95,2.94,0.98,159.01,245.38,106.99,0,0,0,0,4.91,0,0,0,6.87,0,49.08,0,0,0,2.94,2.94
 72-82,0,0,0.98,83.44,3.93,0,310.21,9.82,31.41,216.95,109.95,2.94,0.98,0,0,0.98,20.61,6.87,0.98,0.98,653.79,0.98,2.94,202.22,213.02,98.17,0.98,0.98,0,0,16.69,0,0,0.98,2.94,0,29.45,0,4.91,3.93,7.85,0
 84-94,1.06,0,0,132.75,3.19,2.12,305.87,15.93,28.68,165.68,95.58,6.37,1.06,1.06,0,3.19,39.3,9.56,1.06,0,474.73,5.31,4.25,173.11,145.5,148.69,3.19,0,0,0,28.68,1.06,0,1.06,3.19,0,27.61,4.25,1.06,1.06,4.25,0
 96-106,2.19,0,2.19,128.96,3.28,2.19,284.14,6.56,36.06,134.42,85.24,2.19,0,1.09,4.37,1.09,15.3,12.02,4.37,0,392.33,3.28,2.19,123.49,149.72,127.86,1.09,1.09,0,1.09,31.69,0,0,0,8.74,0,25.14,4.37,1.09,0,6.56,2.19
108-118,0.77,0,0.77,100.34,3.06,1.53,276.51,10.72,25.28,127.92,72,4.6,0,0,1.53,1.53,25.28,9.96,1.53,0.77,402.13,3.83,2.3,127.15,159.32,147.83,0,1.53,0,0,22.21,0,0,0.77,4.6,0,16.09,2.3,0.77,1.53,2.3,0.77
120,3.92,0,1.96,56.83,1.96,1.96,229.29,3.92,9.8,115.63,31.36,1.96,0,0,1.96,0,5.88,11.76,0,0,286.13,1.96,1.96,76.43,190.1,235.17,0,0,0,0,13.72,0,0,1.96,0,0,13.72,0,0,1.96,0,0
