stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,70.98,0,0,0,0,0,0,0,0,21.03,0,0,0,0,0,0,0,0,0,36.8,0,10.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,12.59,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,32,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,6,0
 24-34,0,0,0,0,0.82,21.34,0,0,0,0,0,0,0,4.93,24.63,0,0,0,0.82,4.1,0,0,10.67,0,0,0,0,0,0,0.82,1.64,0,0,36.94,0
 36-46,0,0,0,0,1.61,6.45,0,2.42,0,0,0,0,0,1.61,34.64,0,0,0.81,0.81,8.86,2.42,0,7.25,0,0,0,0,0,0,0,0.81,0,0,41.09,0
 48-58,0,0,0,0,0,16.07,0,1.15,0,0.57,0.57,0,0,3.44,26.4,0,0,1.15,0,9.75,6.31,0.57,4.59,0,0,0.57,0.57,0,0,0,0.57,0,0.57,37.87,0
 60-70,0,0,0,0,1.96,15.7,0,0,0,0,0,0,0,1.96,28.46,0,0,0.98,0,13.74,11.78,0,4.91,0,0,2.94,0,0,0,0,0,0,1.96,44.17,0
 72-82,0,0,0,0,0,77.55,0,8.83,0,0.98,1.96,0,0,10.8,45.16,0,0,4.91,0,29.45,41.23,0.98,10.8,0,0,3.93,0,0,0.98,0,0,0,6.87,96.2,1.96
 84-94,0,0,0,0,0,53.1,0,2.12,1.06,2.12,3.19,0,0,3.19,61.6,0,0,1.06,0,30.8,31.86,0,4.25,0,0,0,0,0,0,0,0,0,5.31,74.34,4.25
 96-106,0,0,0,0,2.19,99.45,0,3.28,0,2.19,1.09,1.09,0,17.49,79.78,0,0,3.28,1.09,33.88,48.09,1.09,8.74,0,0,6.56,1.09,2.19,0,0,1.09,0,7.65,96.17,7.65
108-118,0.77,0,0.77,0,1.53,75.06,1.53,1.53,0.77,1.53,2.3,0,0,6.13,59.75,0.77,0.77,1.53,0,32.17,36,0,9.96,0.77,0,5.36,0,0.77,0,0,0,0.77,1.53,83.49,0.77
120,0,0,0,0,5.88,96.03,0,3.92,1.96,0,1.96,0,0,7.84,74.47,0,0,0,0,25.48,33.32,1.96,9.8,0,0,3.92,0,0,0,0,0,0,0,50.95,1.96
