stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,790.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,245.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,31.47,0,0,6.29,0,0,0,9.44,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,9,0,1,0,0,1,1,2,2,12,13,2,0,0,0,0,0
 24-34,0,0,0,0,1.64,0.82,0,12.31,0,0,0.82,0,0,0.82,0,0,0,0.82,0,10.67,100.97,0.82,0,0,0,7.39,0,0,0.82,0,0.82,3.28,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,4.03,0,0,0,0,0.81,0,0,0.81,0,0.81,0.81,15.31,73.32,0.81,0,0,0,3.22,0,0,0,0,0,1.61,0,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,0,3.44,0,0,0,0,0,0,0,1.72,0.57,2.87,0,13.2,37.87,0,0,0,0.57,0,0,0,0.57,0,0,2.3,0,0,1.15,0,2.87
 60-70,0.98,0,0,0,0,0,0,55.95,0,0,0,0,0,0,0,1.96,0,0.98,0.98,29.45,10.8,0.98,0,0,0.98,1.96,0,0,0,0,0,2.94,0.98,0.98,3.93,0,6.87
 72-82,0,0,1.96,0,0,0,0,84.42,0,2.94,0.98,0.98,0,0,0,2.94,0,0.98,0,11.78,2.94,0.98,0,0,0,0,0,0,0,0,0,2.94,0.98,1.96,5.89,2.94,3.93
 84-94,0,0,1.06,0,0,0,0,72.22,0,4.25,0,1.06,0,0,0,6.37,1.06,1.06,0,7.43,6.37,0,0,0,0,2.12,0,0,1.06,0,0,3.19,0,0,3.19,1.06,4.25
 96-106,0,0,1.09,0,0,0,0,44.81,1.09,3.28,0,0,0,0,0,5.46,1.09,0,0,10.93,3.28,2.19,0,0,0,5.46,0,0,0,0,0,0,3.28,1.09,8.74,2.19,2.19
108-118,0,0,0.77,0,0,0.77,1.53,44.43,0,7.66,2.3,0.77,0,0,0,12.26,1.53,0,0,12.26,4.6,0.77,0.77,0,0,0.77,0,0,0.77,0,0,0,0.77,0,7.66,1.53,1.53
120,0,0,0,0,0,0,0,27.44,0,0,1.96,0,0,0,1.96,5.88,0,1.96,0,11.76,0,0,0,0,0,1.96,0,0,0,0,0,0,1.96,0,7.84,0,0
