stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,vascular.smooth.muscle,vasculature
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,7,0,0,0,0,2,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82,0,0,0.82,42.68,0.82,3.28,0.82,0.82,0,22.98,0,0
 36-46,0,0,0,0.81,0,0,4.83,0,0,0,2.42,0,0,0,0,0.81,3.22,0,0,0.81,68.48,0,4.03,0,0.81,0,27.39,0,0.81
 48-58,0,0,0,1.15,0.57,0,18.94,0,0.57,0,4.02,0,0,0,0,0,4.02,0,0,1.15,111.32,0,0.57,1.15,0.57,0,25.25,0,0
 60-70,0,0,0,0,0,0,53,0,0,2.94,6.87,0,0,0,0,0,3.93,0,0,1.96,142.32,0,3.93,0,0,0,24.54,0,0
 72-82,0,0.98,0,1.96,0,0,56.94,0.98,0,0,5.89,0.98,0,0,0.98,0,6.87,0,0,0,151.18,0,0.98,0.98,0,0,12.76,0,0
 84-94,0,0,0,1.06,0,0,43.54,0,1.06,0,6.37,0,0,0,0,0,4.25,0,1.06,0,71.16,0,1.06,0,0,0,9.56,1.06,0
 96-106,0,0,0,1.09,1.09,0,37.16,0,0,1.09,4.37,0,0,0,0,0,5.46,0,0,0,74.31,0,2.19,1.09,0,0,4.37,0,0
108-118,0,0.77,0,1.53,0,2.3,18.38,0,0,0,3.06,0.77,0,0.77,0,0,1.53,0.77,1.53,0.77,71.23,0,0,0,0.77,0,2.3,0,0
120,0,0,0,3.92,0,0,19.6,0,0,0,9.8,0,1.96,0,0,0,1.96,0,0,1.96,74.47,0,0,0,3.92,0,7.84,0,0
