stage,endocrine.pancreas,exocrine.pancreas,eye,gut,liver,mesenchyme,neural,paraxial.mesoderm,periderm,pronephros,spinal.cord
 10-12,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0
 48-58,0,0,0.57,0.57,0,0,0,0,0,0,0
 60-70,0,0,0.98,1.96,0,0,0,0,0,0,0
 72-82,0.98,0,0,6.87,0,0.98,0.98,0,0,0.98,0.98
 84-94,2.12,0,0,7.43,0,0,1.06,0,0,1.06,0
 96-106,2.19,1.09,0,16.39,0,1.09,3.28,0,1.09,0,0
108-118,0.77,3.06,0,15.32,0.77,0,3.83,0,0,0,0
120,0,1.96,0,25.48,0,1.96,3.92,0,0,0,0
