stage,axial,blastomeres,endoderm,eye,glial,gut,hatching.gland,mesenchyme,muscle,neural,paraxial.mesoderm,spinal.cord
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,140.98,0,0,0,0,0,0,0,6.13,0,0
  7-9,0,0,2.63,7.89,0,0,5.26,0,0,63.09,28.92,0
 10-12,0,0,0,3.15,0,0,0,0,0,40.91,12.59,0
 14-21,0,0,0,0,0,0,0,0,0,2,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,1.64,0,0.82
 36-46,0,0,0,0.81,0,0.81,0,0,0,0.81,0,0.81
 48-58,0,0,0,0,0,0,0,0.57,0,1.72,0,0.57
 60-70,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0.98,0.98,0.98,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0
108-118,0,0,0,0.77,0,0,0,0.77,0,0.77,0,0
