stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,6.13,153.24,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,79.69,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,10.51,0,0,0,0,0,0,0,0,0,0,84.12,0,0,0,7.89,2.63,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,94.41,3.15,0,0,18.88,9.44,0,3.15,0,0,0,0
 14-21,0,0,0,23,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,21,2,1,4,1,0,0
 24-34,0,0,0,18.88,0.82,0,0,0,0,0,0,0,0,0.82,0,5.75,0,0.82,0.82,0,5.75,0,0.82,0,0,0,0
 36-46,0,0,0,5.64,0.81,0,0,0,0,0,0,0,0,0,0,16.92,0,3.22,0.81,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,3.44,0.57,0,0,0,0,0,0,0,0,0.57,0,12.62,0,0.57,0,0,0.57,0,0,0,0.57,0,0
 60-70,0,0,0,6.87,4.91,0.98,0,0,0.98,0,0,0,0,0.98,0,45.15,0,1.96,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,0,2.94,6.87,0,0,0.98,3.93,0,0,0,0.98,0.98,0,25.52,0,0,0,0,0,0,0,0,1.96,0,0.98
 84-94,0,0,0,9.56,3.19,2.12,0,0,9.56,1.06,0,0,0,0,1.06,16.99,0,0,1.06,0,0,0,0,0,1.06,1.06,0
 96-106,0,0,0,7.65,5.46,1.09,0,1.09,17.49,2.19,0,1.09,0,2.19,0,6.56,0,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0,4.6,4.6,0.77,0.77,0.77,16.85,0,0.77,0,0,2.3,0,12.26,0,0.77,0,0,0,0,0,0,0,0,0
120,0,0,0,3.92,3.92,1.96,0,1.96,39.2,0,0,0,1.96,0,0,9.8,0,1.96,0,0,0,0,0,0,0,0,0
