stage,axial,blastomeres,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pronephros,slow_muscle,spinal_cord,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,5.26,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,7.25,0,0.81,1.61,0,0,0,0,0
 48-58,0,0,0,1.72,0,0,0,0.57,17.21,0,3.44,2.87,0,0,0,1.15,0
 60-70,0,0,0,3.93,0,0,0,0,40.24,0,11.78,11.78,0,0,0,2.94,0
 72-82,0,0,0,2.94,0,1.96,0,0,42.21,0,9.82,7.85,0,0,0,0,0
 84-94,0,0,0,2.12,0,0,1.06,0,45.67,0,10.62,4.25,0,0,0,0,0
 96-106,0,0,0,2.19,0,2.19,0,0,51.36,1.09,7.65,5.46,0,0,0,0,1.09
108-118,0,0,0,3.83,1.53,2.3,0,0,54.38,0,3.06,3.83,0,0.77,0.77,0,0
120,0,0,1.96,0,0,0,0,0,37.24,0,1.96,5.88,0,0,0,0,0
