stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,0,0,0,1,0,0,1,7,1,0,0
 24-34,0,0,0,2.46,0,0,2.46,3.28,0,0.82,0,0,0,0,0,0,0,0.82,0,82.91,0.82,0,0,0,0,0,0,0,0,27.91,4.93,0,0
 36-46,0,0,0,0,0,0,2.42,0,0.81,0,0,0,0,0,0,0,0,0.81,0,201.42,1.61,3.22,0,0,0,0.81,0,0,0,50.76,7.25,0,0
 48-58,0,0,0,1.72,0,0,12.05,0.57,1.15,2.87,0,0,0.57,0,0,0,0,4.02,0.57,279.44,0,1.15,0,0,1.15,0,0,0,0,39.59,5.74,0,1.15
 60-70,0,0,0,0.98,0,0,61.84,0,0.98,5.89,0,0,0,0,0,0,0,2.94,0.98,678.23,0,3.93,0.98,0,0.98,0,0,0.98,0,67.73,6.87,0,0
 72-82,0,0,0.98,5.89,0.98,0,89.33,0.98,0,12.76,0.98,1.96,0,0,0.98,0,0,5.89,0.98,658.7,0,0.98,0,0,0.98,0,2.94,0,0,58.9,9.82,0,0
 84-94,0,0,0,2.12,0,0,77.53,1.06,2.12,8.5,1.06,0,0,0,1.06,0,1.06,2.12,0,285.69,0,0,0,0,3.19,0,0,0,0,24.43,14.87,2.12,0
 96-106,0,0,0,4.37,1.09,0,57.92,0,0,9.84,2.19,2.19,5.46,0,0,1.09,0,6.56,1.09,302.72,0,2.19,0,0,4.37,0,2.19,0,0,8.74,12.02,0,0
108-118,0,0,0,5.36,0,0,42.89,0,0.77,4.6,3.06,0,0,0.77,0,0,0,6.89,0.77,331.66,0,0.77,0,0,1.53,0,0.77,0,0,21.45,10.72,0,0
120,0,0,0,5.88,0,1.96,33.32,1.96,1.96,3.92,1.96,0,0,0,0,0,0,0,1.96,321.4,0,1.96,0,0,1.96,0,5.88,0,0,7.84,7.84,0,0
