stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,23.66,0,0,0,0,0,34.17,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,325.96,15.77,0,0,173.5,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,40.91,0,3.15,0,15.73,0,0,0,0,0,22.03,0,0,0,0,0,0,0,0,0,494.07,22.03,0,0,173.08,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,5,42,20,0,12,0,0,0,2,0,0,0,0,0,0,5,26,0,0,64,66,0,0,0,0,0,1,1,35,2,9,425,24,0,0,10,0,0
 24-34,0,0,0,3.28,4.1,1.64,0,30.37,0,5.75,0.82,4.1,0,0.82,2.46,0,0.82,0,3.28,32.83,0,0,73.06,78.8,0,2.46,0.82,0,0,0,0,0,0.82,1.64,57.46,13.95,0,0,42.68,0,0
 36-46,0,0,0,0,1.61,0.81,0,16.11,0.81,3.22,1.61,4.03,0.81,0.81,0.81,0,0,0,0,62.84,0,0,31.42,112.79,0.81,0.81,0.81,0,0,1.61,0,0,0,1.61,0.81,27.39,0,0,29,0,0
 48-58,0,0,0,0,1.15,0.57,0,32.71,0.57,4.02,4.02,12.62,0.57,0,1.15,0,0,0.57,0,48.77,0,0,28.12,154.93,0,2.3,1.72,0,0,2.3,0,0,0.57,0,0,23.53,0,0,30.41,0,0
 60-70,0,0,0,0,7.85,0,0,141.34,0,3.93,1.96,16.69,0,0,1.96,0,0.98,0,0.98,84.41,0.98,0,13.74,292.49,0,0.98,0,0,0,1.96,0,0,0,0,0,40.24,0,1.96,39.26,0,0
 72-82,0,0,0.98,0,10.8,0.98,0,216.95,0,4.91,1.96,30.43,1.96,0,0.98,0,1.96,0,0,71.66,0.98,0.98,15.71,314.13,0,0.98,1.96,0,0,4.91,0,0,0,0,0,25.52,1.96,0.98,85.4,0,0.98
 84-94,0,0,0,0,8.5,2.12,0,129.57,0,10.62,2.12,20.18,2.12,1.06,2.12,0,4.25,1.06,1.06,80.71,0,4.25,18.05,151.87,0,1.06,3.19,0,0,0,0,0,0,0,0,11.68,4.25,2.12,65.85,1.06,1.06
 96-106,0,0,0,0,15.3,2.19,0,114.75,0,7.65,0,17.49,2.19,0,1.09,0,2.19,0,1.09,60.11,0,0,9.84,123.49,0,2.19,1.09,1.09,0,4.37,0,0,2.19,0,0,17.49,2.19,0,55.74,0,1.09
108-118,0,0,0,0,16.09,0,5.36,75.83,0,15.32,1.53,15.32,0,0,0,0.77,6.13,3.83,0,43.66,0.77,0.77,7.66,147.83,0,0,0,0,0.77,3.83,0,0,0.77,0,0,6.89,0,0,52.85,0,0.77
120,0,0,0,0,15.68,3.92,0,68.59,0,11.76,1.96,21.56,1.96,0,0,0,1.96,0,0,33.32,0,0,17.64,184.22,1.96,1.96,0,0,0,1.96,0,0,1.96,0,0,3.92,3.92,0,37.24,0,0
