stage,axial,blastomeres,endoderm,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,mesenchyme,muscle,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,98.07,0,0,0,0,0,0,0,0,6.13,0,0,6.13,0,0,0
  7-9,5.26,0,5.26,5.26,0,0,0,5.26,0,0,52.57,0,23.66,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,34.62,0,22.03,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,4,1
 24-34,0,0,0,0,0,0,0,0,0,0,3.28,0.82,0,0.82,0,2.46,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0.57,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,2.19,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0.77,0,1.53,0,0,0.77,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0
