stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,7,0,1,0,0,0,0,59,0,0,0,0
 24-34,0,4.93,0,2.46,0,5.75,0,0,0,0.82,0,0.82,0,0,0,0,0.82,3.28,0,0,0.82,265.14,28.73,0,0,0,1.64,0.82,0.82,175.66,0,0,0,0
 36-46,0,1.61,0,1.61,0,47.53,1.61,0,0,2.42,0,0,0,0,0,0,0,0.81,0,0,1.61,559.94,45.92,0.81,0,0,0.81,0,0,172.41,0,2.42,0,0
 48-58,0,1.72,0,1.72,0,214.6,0,0,0,5.16,0,0,0,0,0,0,0.57,4.02,0,0,0,483.72,22.38,0.57,0,0,1.72,0,0.57,102.71,0,1.72,0,1.72
 60-70,0,1.96,0,0.98,0,423.04,0,0,0,8.83,0.98,0,0.98,0,0,0,0.98,4.91,0,0,1.96,762.64,29.45,0,0,0,2.94,0,0,142.32,0,0,0,0.98
 72-82,0,3.93,0,5.89,1.96,500.65,0,0.98,0,16.69,0.98,0,4.91,0,0.98,0,0,19.63,0.98,0.98,0.98,764.71,53.99,0,0,0,0.98,0,0,105.04,0,0.98,0,0
 84-94,0,3.19,0,7.43,0,454.55,0,1.06,1.06,20.18,3.19,0,8.5,0,1.06,0,0,10.62,0,3.19,0,510.84,47.79,1.06,0,0,5.31,0,0,63.72,0,1.06,2.12,1.06
 96-106,0,6.56,0,13.11,0,347.53,0,2.19,0,19.67,1.09,0,0,0,0,1.09,1.09,16.39,0,0,2.19,415.28,89.61,3.28,0,0,3.28,0,0,37.16,0,0,0,0
108-118,0,1.53,0,5.36,0,269.62,0.77,0,0,13.02,1.53,0,2.3,0,0,0,0,9.96,0.77,0.77,0.77,589.03,50.55,1.53,0,1.53,3.06,0,0,40.6,1.53,0,0.77,0
120,0,0,0,15.68,0,268.49,0,1.96,0,13.72,0,0,3.92,1.96,0,1.96,0,5.88,0,0,3.92,823.11,39.2,0,0,0,0,3.92,0,39.2,0,0,0,0
